16900,16907,16917,16900,16900,16949,16937,16982,16968,16996,17010,17041,16949,16937,16931,16931,17051,17014,17127,17140,17114,17222,17215,17021,17232,17074,17062,17203,17243,17257,17201,17306,17303,17214,17296,17281,17322,17339,17313,17300,17299,17367,17352,17280,17289,17358,17359,17367,17391,16900,17399,16930,17426,17402,17320,17414,17457,17451,17386,17446,17399,17462,17424,17445,17010,17438
16901,16908,16918,16901,16901,16950,16938,16983,16969,16997,17011,17042,16950,16938,16932,16932,17052,17015,17128,17141,17115,17223,17216,17022,17233,17075,17063,17204,17244,17258,17202,17307,17304,17215,17297,17282,17323,17340,17314,17301,17300,17368,17353,17281,17290,17359,17360,17368,17392,16901,17400,16931,17427,17403,17321,17415,17458,17452,17387,17447,17400,17463,17425,17446,17011,17439
16902,16909,16919,16902,16902,16951,16939,16984,16970,16998,17012,17043,16951,16939,16933,16933,17053,17016,17129,17142,17116,17224,17217,17023,17234,17076,17064,17205,17245,17259,17203,17308,17305,17216,17298,17283,17324,17341,17315,17302,17301,17369,17354,17282,17291,17360,17361,17369,17393,16902,17401,16932,17428,17404,17322,17416,17459,17453,17388,17448,17401,17464,17426,17447,17012,17440
16903,16910,16920,16903,16903,16952,16940,16985,16971,16999,17013,17044,16952,16940,16934,16934,17054,17017,17130,17143,17117,17225,17218,17024,17235,17077,17065,17206,17246,17260,17204,17309,17306,17217,17299,17284,17325,17342,17316,17303,17302,17370,17355,17283,17292,17361,17362,17370,17394,16903,17402,16933,17429,17405,17323,17417,17460,17454,17389,17449,17402,17465,17427,17448,17013,17441
16904,16911,16921,16904,16904,16953,16941,16986,16972,17000,17014,17045,16953,16941,16935,16935,17055,17018,17131,17144,17118,17226,17219,17025,17236,17078,17066,17207,17247,17261,17205,17310,17307,17218,17300,17285,17326,17343,17317,17304,17303,17371,17356,17284,17293,17362,17363,17371,17395,16904,17403,16934,17430,17406,17324,17418,17461,17455,17390,17450,17403,17466,17428,17449,17014,17442
16905,16912,16922,16905,16905,16954,16942,16987,16973,17001,17015,17046,16954,16942,16936,16936,17056,17019,17132,17145,17119,17227,17220,17026,17237,17079,17067,17208,17248,17262,17206,17311,17308,17219,17301,17286,17327,17344,17318,17305,17304,17372,17357,17285,17294,17363,17364,17372,17396,16905,17404,16935,17431,17407,17325,17419,17462,17456,17391,17451,17404,17467,17429,17450,17015,17443
16906,16913,16923,16906,16906,16955,16943,16988,16974,17002,17016,17047,16955,16943,16937,16937,17057,17020,17133,17146,17120,17228,17221,17027,17238,17080,17068,17209,17249,17263,17207,17312,17309,17220,17302,17287,17328,17345,17319,17306,17305,17373,17358,17286,17295,17364,17365,17373,17397,16906,17405,16936,17432,17408,17326,17420,17463,17457,17392,17452,17405,17468,17430,17451,17016,17444
16907,16914,16924,16907,16907,16956,16944,16989,16975,17003,17017,17048,16956,16944,16938,16938,17058,17021,17134,17147,17121,17229,17222,17028,17239,17081,17069,17210,17250,17264,17208,17313,17310,17221,17303,17288,17329,17346,17320,17307,17306,17374,17359,17287,17296,17365,17366,17374,17398,16907,17406,16937,17433,17409,17327,17421,17464,17458,17393,17453,17406,17469,17431,17452,17017,17445
16908,16915,16925,16908,16908,16957,16945,16990,16976,17004,17018,17049,16957,16945,16939,16939,17059,17022,17135,17148,17122,17230,17223,17029,17240,17082,17070,17211,17251,17265,17209,17314,17311,17222,17304,17289,17330,17347,17321,17308,17307,17375,17360,17288,17297,17366,17367,17375,17399,16908,17407,16938,17434,17410,17328,17422,17465,17459,17394,17454,17407,17470,17432,17453,17018,17446
16909,16916,16926,16909,16909,16958,16946,16991,16977,17005,17019,17050,16958,16946,16940,16940,17060,17023,17136,17149,17123,17231,17224,17030,17241,17083,17071,17212,17252,17266,17210,17315,17312,17223,17305,17290,17331,17348,17322,17309,17308,17376,17361,17289,17298,17367,17368,17376,17400,16909,17408,16939,17435,17411,17329,17423,17466,17460,17395,17455,17408,17471,17433,17454,17019,17447
16910,16917,16927,16910,16910,16959,16947,16992,16978,17006,17020,17051,16959,16947,16941,16941,17061,17024,17137,17150,17124,17232,17225,17031,17242,17084,17072,17213,17253,17267,17211,17316,17313,17224,17306,17291,17332,17349,17323,17310,17309,17377,17362,17290,17299,17368,17369,17377,17401,16910,17409,16940,17436,17412,17330,17424,17467,17461,17396,17456,17409,17472,17434,17455,17020,17448
16911,16918,16928,16911,16911,16960,16948,16993,16979,17007,17021,17052,16960,16948,16942,16942,17062,17025,17138,17151,17125,17233,17226,17032,17243,17085,17073,17214,17254,17268,17212,17317,17314,17225,17307,17292,17333,17350,17324,17311,17310,17378,17363,17291,17300,17369,17370,17378,17402,16911,17410,16941,17437,17413,17331,17425,17468,17462,17397,17457,17410,17473,17435,17456,17021,17449
16912,16919,16929,16912,16912,16961,16949,16994,16980,17008,17022,17053,16961,16949,16943,16943,17063,17026,17139,17152,17126,17234,17227,17033,17244,17086,17074,17215,17255,17269,17213,17318,17315,17226,17308,17293,17334,17351,17325,17312,17311,17379,17364,17292,17301,17370,17371,17379,17403,16912,17411,16942,17438,17414,17332,17426,17469,17463,17398,17458,17411,17474,17436,17457,17022,17450
