68900,68900,68903,68900,68900,68900,68900,68906,68903,68900,68900,68900,68907,68922,68919,68904,68900,68937,68904,68936,68935,68931,68965,68942,68907,68977,68957,68974,68983,68987,68994,69011,69024,68980,69015,69030,69029,69022,69032,69059,69066,69064,69082,69054,69103,69065,69112,69108,69104,69101,69118,69127,69110,69105,69140,69152,69167,69155,69140,69172,69159,69164,69155,69158,69194,69191,69201,69191,69224,69157,69194,69175,69176,69172,69203,69215,69236,69176,69199,69232,69211,69195,68952,68991,68911,68916,69026,69064,68900,69014,69062,68900,69242,69197,69269,69269,69275,69278,69295,69288,69126,69300,69288,69295,69292,69160,69307,69300,69288,69318,69310,69331,69321,69296,69325,69324,69181,69337,69320,69323,69355,69353,69349,69357,69363,69353,69369,69392,69381,69180,69393,69396,69406,69437,69338,69399,69356,69359,69444,69448,69473,69478,69466,69457,69459,69422,69476,69471,69322,69475,69463,69366,69357,69479,69474,69461,69387,69360,69464,69309,69464,69420,69427,69434,69420,69376
68901,68901,68904,68901,68901,68901,68901,68907,68904,68901,68901,68901,68908,68923,68920,68905,68901,68938,68905,68937,68936,68932,68966,68943,68908,68978,68958,68975,68984,68988,68995,69012,69025,68981,69016,69031,69030,69023,69033,69060,69067,69065,69083,69055,69104,69066,69113,69109,69105,69102,69119,69128,69111,69106,69141,69153,69168,69156,69141,69173,69160,69165,69156,69159,69195,69192,69202,69192,69225,69158,69195,69176,69177,69173,69204,69216,69237,69177,69200,69233,69212,69196,68953,68992,68912,68917,69027,69065,68901,69015,69063,68901,69243,69198,69270,69270,69276,69279,69296,69289,69127,69301,69289,69296,69293,69161,69308,69301,69289,69319,69311,69332,69322,69297,69326,69325,69182,69338,69321,69324,69356,69354,69350,69358,69364,69354,69370,69393,69382,69181,69394,69397,69407,69438,69339,69400,69357,69360,69445,69449,69474,69479,69467,69458,69460,69423,69477,69472,69323,69476,69464,69367,69358,69480,69475,69462,69388,69361,69465,69310,69465,69421,69428,69435,69421,69377
68902,68902,68905,68902,68902,68902,68902,68908,68905,68902,68902,68902,68909,68924,68921,68906,68902,68939,68906,68938,68937,68933,68967,68944,68909,68979,68959,68976,68985,68989,68996,69013,69026,68982,69017,69032,69031,69024,69034,69061,69068,69066,69084,69056,69105,69067,69114,69110,69106,69103,69120,69129,69112,69107,69142,69154,69169,69157,69142,69174,69161,69166,69157,69160,69196,69193,69203,69193,69226,69159,69196,69177,69178,69174,69205,69217,69238,69178,69201,69234,69213,69197,68954,68993,68913,68918,69028,69066,68902,69016,69064,68902,69244,69199,69271,69271,69277,69280,69297,69290,69128,69302,69290,69297,69294,69162,69309,69302,69290,69320,69312,69333,69323,69298,69327,69326,69183,69339,69322,69325,69357,69355,69351,69359,69365,69355,69371,69394,69383,69182,69395,69398,69408,69439,69340,69401,69358,69361,69446,69450,69475,69480,69468,69459,69461,69424,69478,69473,69324,69477,69465,69368,69359,69481,69476,69463,69389,69362,69466,69311,69466,69422,69429,69436,69422,69378
68903,68903,68906,68903,68903,68903,68903,68909,68906,68903,68903,68903,68910,68925,68922,68907,68903,68940,68907,68939,68938,68934,68968,68945,68910,68980,68960,68977,68986,68990,68997,69014,69027,68983,69018,69033,69032,69025,69035,69062,69069,69067,69085,69057,69106,69068,69115,69111,69107,69104,69121,69130,69113,69108,69143,69155,69170,69158,69143,69175,69162,69167,69158,69161,69197,69194,69204,69194,69227,69160,69197,69178,69179,69175,69206,69218,69239,69179,69202,69235,69214,69198,68955,68994,68914,68919,69029,69067,68903,69017,69065,68903,69245,69200,69272,69272,69278,69281,69298,69291,69129,69303,69291,69298,69295,69163,69310,69303,69291,69321,69313,69334,69324,69299,69328,69327,69184,69340,69323,69326,69358,69356,69352,69360,69366,69356,69372,69395,69384,69183,69396,69399,69409,69440,69341,69402,69359,69362,69447,69451,69476,69481,69469,69460,69462,69425,69479,69474,69325,69478,69466,69369,69360,69482,69477,69464,69390,69363,69467,69312,69467,69423,69430,69437,69423,69379
68904,68904,68907,68904,68904,68904,68904,68910,68907,68904,68904,68904,68911,68926,68923,68908,68904,68941,68908,68940,68939,68935,68969,68946,68911,68981,68961,68978,68987,68991,68998,69015,69028,68984,69019,69034,69033,69026,69036,69063,69070,69068,69086,69058,69107,69069,69116,69112,69108,69105,69122,69131,69114,69109,69144,69156,69171,69159,69144,69176,69163,69168,69159,69162,69198,69195,69205,69195,69228,69161,69198,69179,69180,69176,69207,69219,69240,69180,69203,69236,69215,69199,68956,68995,68915,68920,69030,69068,68904,69018,69066,68904,69246,69201,69273,69273,69279,69282,69299,69292,69130,69304,69292,69299,69296,69164,69311,69304,69292,69322,69314,69335,69325,69300,69329,69328,69185,69341,69324,69327,69359,69357,69353,69361,69367,69357,69373,69396,69385,69184,69397,69400,69410,69441,69342,69403,69360,69363,69448,69452,69477,69482,69470,69461,69463,69426,69480,69475,69326,69479,69467,69370,69361,69483,69478,69465,69391,69364,69468,69313,69468,69424,69431,69438,69424,69380
68905,68905,68908,68905,68905,68905,68905,68911,68908,68905,68905,68905,68912,68927,68924,68909,68905,68942,68909,68941,68940,68936,68970,68947,68912,68982,68962,68979,68988,68992,68999,69016,69029,68985,69020,69035,69034,69027,69037,69064,69071,69069,69087,69059,69108,69070,69117,69113,69109,69106,69123,69132,69115,69110,69145,69157,69172,69160,69145,69177,69164,69169,69160,69163,69199,69196,69206,69196,69229,69162,69199,69180,69181,69177,69208,69220,69241,69181,69204,69237,69216,69200,68957,68996,68916,68921,69031,69069,68905,69019,69067,68905,69247,69202,69274,69274,69280,69283,69300,69293,69131,69305,69293,69300,69297,69165,69312,69305,69293,69323,69315,69336,69326,69301,69330,69329,69186,69342,69325,69328,69360,69358,69354,69362,69368,69358,69374,69397,69386,69185,69398,69401,69411,69442,69343,69404,69361,69364,69449,69453,69478,69483,69471,69462,69464,69427,69481,69476,69327,69480,69468,69371,69362,69484,69479,69466,69392,69365,69469,69314,69469,69425,69432,69439,69425,69381
68906,68906,68909,68906,68906,68906,68906,68912,68909,68906,68906,68906,68913,68928,68925,68910,68906,68943,68910,68942,68941,68937,68971,68948,68913,68983,68963,68980,68989,68993,69000,69017,69030,68986,69021,69036,69035,69028,69038,69065,69072,69070,69088,69060,69109,69071,69118,69114,69110,69107,69124,69133,69116,69111,69146,69158,69173,69161,69146,69178,69165,69170,69161,69164,69200,69197,69207,69197,69230,69163,69200,69181,69182,69178,69209,69221,69242,69182,69205,69238,69217,69201,68958,68997,68917,68922,69032,69070,68906,69020,69068,68906,69248,69203,69275,69275,69281,69284,69301,69294,69132,69306,69294,69301,69298,69166,69313,69306,69294,69324,69316,69337,69327,69302,69331,69330,69187,69343,69326,69329,69361,69359,69355,69363,69369,69359,69375,69398,69387,69186,69399,69402,69412,69443,69344,69405,69362,69365,69450,69454,69479,69484,69472,69463,69465,69428,69482,69477,69328,69481,69469,69372,69363,69485,69480,69467,69393,69366,69470,69315,69470,69426,69433,69440,69426,69382
68907,68907,68910,68907,68907,68907,68907,68913,68910,68907,68907,68907,68914,68929,68926,68911,68907,68944,68911,68943,68942,68938,68972,68949,68914,68984,68964,68981,68990,68994,69001,69018,69031,68987,69022,69037,69036,69029,69039,69066,69073,69071,69089,69061,69110,69072,69119,69115,69111,69108,69125,69134,69117,69112,69147,69159,69174,69162,69147,69179,69166,69171,69162,69165,69201,69198,69208,69198,69231,69164,69201,69182,69183,69179,69210,69222,69243,69183,69206,69239,69218,69202,68959,68998,68918,68923,69033,69071,68907,69021,69069,68907,69249,69204,69276,69276,69282,69285,69302,69295,69133,69307,69295,69302,69299,69167,69314,69307,69295,69325,69317,69338,69328,69303,69332,69331,69188,69344,69327,69330,69362,69360,69356,69364,69370,69360,69376,69399,69388,69187,69400,69403,69413,69444,69345,69406,69363,69366,69451,69455,69480,69485,69473,69464,69466,69429,69483,69478,69329,69482,69470,69373,69364,69486,69481,69468,69394,69367,69471,69316,69471,69427,69434,69441,69427,69383
68908,68908,68911,68908,68908,68908,68908,68914,68911,68908,68908,68908,68915,68930,68927,68912,68908,68945,68912,68944,68943,68939,68973,68950,68915,68985,68965,68982,68991,68995,69002,69019,69032,68988,69023,69038,69037,69030,69040,69067,69074,69072,69090,69062,69111,69073,69120,69116,69112,69109,69126,69135,69118,69113,69148,69160,69175,69163,69148,69180,69167,69172,69163,69166,69202,69199,69209,69199,69232,69165,69202,69183,69184,69180,69211,69223,69244,69184,69207,69240,69219,69203,68960,68999,68919,68924,69034,69072,68908,69022,69070,68908,69250,69205,69277,69277,69283,69286,69303,69296,69134,69308,69296,69303,69300,69168,69315,69308,69296,69326,69318,69339,69329,69304,69333,69332,69189,69345,69328,69331,69363,69361,69357,69365,69371,69361,69377,69400,69389,69188,69401,69404,69414,69445,69346,69407,69364,69367,69452,69456,69481,69486,69474,69465,69467,69430,69484,69479,69330,69483,69471,69374,69365,69487,69482,69469,69395,69368,69472,69317,69472,69428,69435,69442,69428,69384
68909,68909,68912,68909,68909,68909,68909,68915,68912,68909,68909,68909,68916,68931,68928,68913,68909,68946,68913,68945,68944,68940,68974,68951,68916,68986,68966,68983,68992,68996,69003,69020,69033,68989,69024,69039,69038,69031,69041,69068,69075,69073,69091,69063,69112,69074,69121,69117,69113,69110,69127,69136,69119,69114,69149,69161,69176,69164,69149,69181,69168,69173,69164,69167,69203,69200,69210,69200,69233,69166,69203,69184,69185,69181,69212,69224,69245,69185,69208,69241,69220,69204,68961,69000,68920,68925,69035,69073,68909,69023,69071,68909,69251,69206,69278,69278,69284,69287,69304,69297,69135,69309,69297,69304,69301,69169,69316,69309,69297,69327,69319,69340,69330,69305,69334,69333,69190,69346,69329,69332,69364,69362,69358,69366,69372,69362,69378,69401,69390,69189,69402,69405,69415,69446,69347,69408,69365,69368,69453,69457,69482,69487,69475,69466,69468,69431,69485,69480,69331,69484,69472,69375,69366,69488,69483,69470,69396,69369,69473,69318,69473,69429,69436,69443,69429,69385
