79700,79700,79700,79700,79716,79726,79700,79700,79700,79700,79733,79728,79746,79700,79767,79736,79781,79755,79790,79700,79700,79783,79784,79808,79794,79700,79909,79954,79965,79971,80012,80021,80048,79973,79968,80074,80015,79996,80044,80057,80030,79995,80104,80121,80006,80025,80159,80154,80145,80159,80144,80144,80143,80185,79900,79839,80064,79834,79871,80073,79894,79947,80190,80195,80190,80208,80199,80152,80157,80224,80202,80207,80210,80258,80154,80250,80172,80247,80214,80227,80264,80230
79701,79701,79701,79701,79717,79727,79701,79701,79701,79701,79734,79729,79747,79701,79768,79737,79782,79756,79791,79701,79701,79784,79785,79809,79795,79701,79910,79955,79966,79972,80013,80022,80049,79974,79969,80075,80016,79997,80045,80058,80031,79996,80105,80122,80007,80026,80160,80155,80146,80160,80145,80145,80144,80186,79901,79840,80065,79835,79872,80074,79895,79948,80191,80196,80191,80209,80200,80153,80158,80225,80203,80208,80211,80259,80155,80251,80173,80248,80215,80228,80265,80231
79702,79702,79702,79702,79718,79728,79702,79702,79702,79702,79735,79730,79748,79702,79769,79738,79783,79757,79792,79702,79702,79785,79786,79810,79796,79702,79911,79956,79967,79973,80014,80023,80050,79975,79970,80076,80017,79998,80046,80059,80032,79997,80106,80123,80008,80027,80161,80156,80147,80161,80146,80146,80145,80187,79902,79841,80066,79836,79873,80075,79896,79949,80192,80197,80192,80210,80201,80154,80159,80226,80204,80209,80212,80260,80156,80252,80174,80249,80216,80229,80266,80232
79703,79703,79703,79703,79719,79729,79703,79703,79703,79703,79736,79731,79749,79703,79770,79739,79784,79758,79793,79703,79703,79786,79787,79811,79797,79703,79912,79957,79968,79974,80015,80024,80051,79976,79971,80077,80018,79999,80047,80060,80033,79998,80107,80124,80009,80028,80162,80157,80148,80162,80147,80147,80146,80188,79903,79842,80067,79837,79874,80076,79897,79950,80193,80198,80193,80211,80202,80155,80160,80227,80205,80210,80213,80261,80157,80253,80175,80250,80217,80230,80267,80233
79704,79704,79704,79704,79720,79730,79704,79704,79704,79704,79737,79732,79750,79704,79771,79740,79785,79759,79794,79704,79704,79787,79788,79812,79798,79704,79913,79958,79969,79975,80016,80025,80052,79977,79972,80078,80019,80000,80048,80061,80034,79999,80108,80125,80010,80029,80163,80158,80149,80163,80148,80148,80147,80189,79904,79843,80068,79838,79875,80077,79898,79951,80194,80199,80194,80212,80203,80156,80161,80228,80206,80211,80214,80262,80158,80254,80176,80251,80218,80231,80268,80234
79705,79705,79705,79705,79721,79731,79705,79705,79705,79705,79738,79733,79751,79705,79772,79741,79786,79760,79795,79705,79705,79788,79789,79813,79799,79705,79914,79959,79970,79976,80017,80026,80053,79978,79973,80079,80020,80001,80049,80062,80035,80000,80109,80126,80011,80030,80164,80159,80150,80164,80149,80149,80148,80190,79905,79844,80069,79839,79876,80078,79899,79952,80195,80200,80195,80213,80204,80157,80162,80229,80207,80212,80215,80263,80159,80255,80177,80252,80219,80232,80269,80235
79706,79706,79706,79706,79722,79732,79706,79706,79706,79706,79739,79734,79752,79706,79773,79742,79787,79761,79796,79706,79706,79789,79790,79814,79800,79706,79915,79960,79971,79977,80018,80027,80054,79979,79974,80080,80021,80002,80050,80063,80036,80001,80110,80127,80012,80031,80165,80160,80151,80165,80150,80150,80149,80191,79906,79845,80070,79840,79877,80079,79900,79953,80196,80201,80196,80214,80205,80158,80163,80230,80208,80213,80216,80264,80160,80256,80178,80253,80220,80233,80270,80236
79707,79707,79707,79707,79723,79733,79707,79707,79707,79707,79740,79735,79753,79707,79774,79743,79788,79762,79797,79707,79707,79790,79791,79815,79801,79707,79916,79961,79972,79978,80019,80028,80055,79980,79975,80081,80022,80003,80051,80064,80037,80002,80111,80128,80013,80032,80166,80161,80152,80166,80151,80151,80150,80192,79907,79846,80071,79841,79878,80080,79901,79954,80197,80202,80197,80215,80206,80159,80164,80231,80209,80214,80217,80265,80161,80257,80179,80254,80221,80234,80271,80237
79708,79708,79708,79708,79724,79734,79708,79708,79708,79708,79741,79736,79754,79708,79775,79744,79789,79763,79798,79708,79708,79791,79792,79816,79802,79708,79917,79962,79973,79979,80020,80029,80056,79981,79976,80082,80023,80004,80052,80065,80038,80003,80112,80129,80014,80033,80167,80162,80153,80167,80152,80152,80151,80193,79908,79847,80072,79842,79879,80081,79902,79955,80198,80203,80198,80216,80207,80160,80165,80232,80210,80215,80218,80266,80162,80258,80180,80255,80222,80235,80272,80238
79709,79709,79709,79709,79725,79735,79709,79709,79709,79709,79742,79737,79755,79709,79776,79745,79790,79764,79799,79709,79709,79792,79793,79817,79803,79709,79918,79963,79974,79980,80021,80030,80057,79982,79977,80083,80024,80005,80053,80066,80039,80004,80113,80130,80015,80034,80168,80163,80154,80168,80153,80153,80152,80194,79909,79848,80073,79843,79880,80082,79903,79956,80199,80204,80199,80217,80208,80161,80166,80233,80211,80216,80219,80267,80163,80259,80181,80256,80223,80236,80273,80239
79710,79710,79710,79710,79726,79736,79710,79710,79710,79710,79743,79738,79756,79710,79777,79746,79791,79765,79800,79710,79710,79793,79794,79818,79804,79710,79919,79964,79975,79981,80022,80031,80058,79983,79978,80084,80025,80006,80054,80067,80040,80005,80114,80131,80016,80035,80169,80164,80155,80169,80154,80154,80153,80195,79910,79849,80074,79844,79881,80083,79904,79957,80200,80205,80200,80218,80209,80162,80167,80234,80212,80217,80220,80268,80164,80260,80182,80257,80224,80237,80274,80240
79711,79711,79711,79711,79727,79737,79711,79711,79711,79711,79744,79739,79757,79711,79778,79747,79792,79766,79801,79711,79711,79794,79795,79819,79805,79711,79920,79965,79976,79982,80023,80032,80059,79984,79979,80085,80026,80007,80055,80068,80041,80006,80115,80132,80017,80036,80170,80165,80156,80170,80155,80155,80154,80196,79911,79850,80075,79845,79882,80084,79905,79958,80201,80206,80201,80219,80210,80163,80168,80235,80213,80218,80221,80269,80165,80261,80183,80258,80225,80238,80275,80241
79712,79712,79712,79712,79728,79738,79712,79712,79712,79712,79745,79740,79758,79712,79779,79748,79793,79767,79802,79712,79712,79795,79796,79820,79806,79712,79921,79966,79977,79983,80024,80033,80060,79985,79980,80086,80027,80008,80056,80069,80042,80007,80116,80133,80018,80037,80171,80166,80157,80171,80156,80156,80155,80197,79912,79851,80076,79846,79883,80085,79906,79959,80202,80207,80202,80220,80211,80164,80169,80236,80214,80219,80222,80270,80166,80262,80184,80259,80226,80239,80276,80242
79713,79713,79713,79713,79729,79739,79713,79713,79713,79713,79746,79741,79759,79713,79780,79749,79794,79768,79803,79713,79713,79796,79797,79821,79807,79713,79922,79967,79978,79984,80025,80034,80061,79986,79981,80087,80028,80009,80057,80070,80043,80008,80117,80134,80019,80038,80172,80167,80158,80172,80157,80157,80156,80198,79913,79852,80077,79847,79884,80086,79907,79960,80203,80208,80203,80221,80212,80165,80170,80237,80215,80220,80223,80271,80167,80263,80185,80260,80227,80240,80277,80243
79714,79714,79714,79714,79730,79740,79714,79714,79714,79714,79747,79742,79760,79714,79781,79750,79795,79769,79804,79714,79714,79797,79798,79822,79808,79714,79923,79968,79979,79985,80026,80035,80062,79987,79982,80088,80029,80010,80058,80071,80044,80009,80118,80135,80020,80039,80173,80168,80159,80173,80158,80158,80157,80199,79914,79853,80078,79848,79885,80087,79908,79961,80204,80209,80204,80222,80213,80166,80171,80238,80216,80221,80224,80272,80168,80264,80186,80261,80228,80241,80278,80244
79715,79715,79715,79715,79731,79741,79715,79715,79715,79715,79748,79743,79761,79715,79782,79751,79796,79770,79805,79715,79715,79798,79799,79823,79809,79715,79924,79969,79980,79986,80027,80036,80063,79988,79983,80089,80030,80011,80059,80072,80045,80010,80119,80136,80021,80040,80174,80169,80160,80174,80159,80159,80158,80200,79915,79854,80079,79849,79886,80088,79909,79962,80205,80210,80205,80223,80214,80167,80172,80239,80217,80222,80225,80273,80169,80265,80187,80262,80229,80242,80279,80245
79716,79716,79716,79716,79732,79742,79716,79716,79716,79716,79749,79744,79762,79716,79783,79752,79797,79771,79806,79716,79716,79799,79800,79824,79810,79716,79925,79970,79981,79987,80028,80037,80064,79989,79984,80090,80031,80012,80060,80073,80046,80011,80120,80137,80022,80041,80175,80170,80161,80175,80160,80160,80159,80201,79916,79855,80080,79850,79887,80089,79910,79963,80206,80211,80206,80224,80215,80168,80173,80240,80218,80223,80226,80274,80170,80266,80188,80263,80230,80243,80280,80246
79717,79717,79717,79717,79733,79743,79717,79717,79717,79717,79750,79745,79763,79717,79784,79753,79798,79772,79807,79717,79717,79800,79801,79825,79811,79717,79926,79971,79982,79988,80029,80038,80065,79990,79985,80091,80032,80013,80061,80074,80047,80012,80121,80138,80023,80042,80176,80171,80162,80176,80161,80161,80160,80202,79917,79856,80081,79851,79888,80090,79911,79964,80207,80212,80207,80225,80216,80169,80174,80241,80219,80224,80227,80275,80171,80267,80189,80264,80231,80244,80281,80247
