65930,65930,65930,65966,65930,65930,65930,66006,65974,65958,65930,65930,66004,66033,65979,65963,66034,66028,66022,66022,66108,66110,66077,66113,66046,66073,66093,66085,66124,66129,66156,66142,66143,66115,66012,66147,66105,66072,66047,66111,66191,66010,66012,66014,66015,66009,66147,66135,66190,66110,66224,66168,66233,66247,66204,66192,66195,66249,65984,66188,66215,66266,66258,66262,66287,66295,66244,66230,65944,66127,66134,66168,66140,66272,66310,66168,66130,66301,66249,66215
65931,65931,65931,65967,65931,65931,65931,66007,65975,65959,65931,65931,66005,66034,65980,65964,66035,66029,66023,66023,66109,66111,66078,66114,66047,66074,66094,66086,66125,66130,66157,66143,66144,66116,66013,66148,66106,66073,66048,66112,66192,66011,66013,66015,66016,66010,66148,66136,66191,66111,66225,66169,66234,66248,66205,66193,66196,66250,65985,66189,66216,66267,66259,66263,66288,66296,66245,66231,65945,66128,66135,66169,66141,66273,66311,66169,66131,66302,66250,66216
65932,65932,65932,65968,65932,65932,65932,66008,65976,65960,65932,65932,66006,66035,65981,65965,66036,66030,66024,66024,66110,66112,66079,66115,66048,66075,66095,66087,66126,66131,66158,66144,66145,66117,66014,66149,66107,66074,66049,66113,66193,66012,66014,66016,66017,66011,66149,66137,66192,66112,66226,66170,66235,66249,66206,66194,66197,66251,65986,66190,66217,66268,66260,66264,66289,66297,66246,66232,65946,66129,66136,66170,66142,66274,66312,66170,66132,66303,66251,66217
65933,65933,65933,65969,65933,65933,65933,66009,65977,65961,65933,65933,66007,66036,65982,65966,66037,66031,66025,66025,66111,66113,66080,66116,66049,66076,66096,66088,66127,66132,66159,66145,66146,66118,66015,66150,66108,66075,66050,66114,66194,66013,66015,66017,66018,66012,66150,66138,66193,66113,66227,66171,66236,66250,66207,66195,66198,66252,65987,66191,66218,66269,66261,66265,66290,66298,66247,66233,65947,66130,66137,66171,66143,66275,66313,66171,66133,66304,66252,66218
65934,65934,65934,65970,65934,65934,65934,66010,65978,65962,65934,65934,66008,66037,65983,65967,66038,66032,66026,66026,66112,66114,66081,66117,66050,66077,66097,66089,66128,66133,66160,66146,66147,66119,66016,66151,66109,66076,66051,66115,66195,66014,66016,66018,66019,66013,66151,66139,66194,66114,66228,66172,66237,66251,66208,66196,66199,66253,65988,66192,66219,66270,66262,66266,66291,66299,66248,66234,65948,66131,66138,66172,66144,66276,66314,66172,66134,66305,66253,66219
65935,65935,65935,65971,65935,65935,65935,66011,65979,65963,65935,65935,66009,66038,65984,65968,66039,66033,66027,66027,66113,66115,66082,66118,66051,66078,66098,66090,66129,66134,66161,66147,66148,66120,66017,66152,66110,66077,66052,66116,66196,66015,66017,66019,66020,66014,66152,66140,66195,66115,66229,66173,66238,66252,66209,66197,66200,66254,65989,66193,66220,66271,66263,66267,66292,66300,66249,66235,65949,66132,66139,66173,66145,66277,66315,66173,66135,66306,66254,66220
65936,65936,65936,65972,65936,65936,65936,66012,65980,65964,65936,65936,66010,66039,65985,65969,66040,66034,66028,66028,66114,66116,66083,66119,66052,66079,66099,66091,66130,66135,66162,66148,66149,66121,66018,66153,66111,66078,66053,66117,66197,66016,66018,66020,66021,66015,66153,66141,66196,66116,66230,66174,66239,66253,66210,66198,66201,66255,65990,66194,66221,66272,66264,66268,66293,66301,66250,66236,65950,66133,66140,66174,66146,66278,66316,66174,66136,66307,66255,66221
65937,65937,65937,65973,65937,65937,65937,66013,65981,65965,65937,65937,66011,66040,65986,65970,66041,66035,66029,66029,66115,66117,66084,66120,66053,66080,66100,66092,66131,66136,66163,66149,66150,66122,66019,66154,66112,66079,66054,66118,66198,66017,66019,66021,66022,66016,66154,66142,66197,66117,66231,66175,66240,66254,66211,66199,66202,66256,65991,66195,66222,66273,66265,66269,66294,66302,66251,66237,65951,66134,66141,66175,66147,66279,66317,66175,66137,66308,66256,66222
65938,65938,65938,65974,65938,65938,65938,66014,65982,65966,65938,65938,66012,66041,65987,65971,66042,66036,66030,66030,66116,66118,66085,66121,66054,66081,66101,66093,66132,66137,66164,66150,66151,66123,66020,66155,66113,66080,66055,66119,66199,66018,66020,66022,66023,66017,66155,66143,66198,66118,66232,66176,66241,66255,66212,66200,66203,66257,65992,66196,66223,66274,66266,66270,66295,66303,66252,66238,65952,66135,66142,66176,66148,66280,66318,66176,66138,66309,66257,66223
65939,65939,65939,65975,65939,65939,65939,66015,65983,65967,65939,65939,66013,66042,65988,65972,66043,66037,66031,66031,66117,66119,66086,66122,66055,66082,66102,66094,66133,66138,66165,66151,66152,66124,66021,66156,66114,66081,66056,66120,66200,66019,66021,66023,66024,66018,66156,66144,66199,66119,66233,66177,66242,66256,66213,66201,66204,66258,65993,66197,66224,66275,66267,66271,66296,66304,66253,66239,65953,66136,66143,66177,66149,66281,66319,66177,66139,66310,66258,66224
65940,65940,65940,65976,65940,65940,65940,66016,65984,65968,65940,65940,66014,66043,65989,65973,66044,66038,66032,66032,66118,66120,66087,66123,66056,66083,66103,66095,66134,66139,66166,66152,66153,66125,66022,66157,66115,66082,66057,66121,66201,66020,66022,66024,66025,66019,66157,66145,66200,66120,66234,66178,66243,66257,66214,66202,66205,66259,65994,66198,66225,66276,66268,66272,66297,66305,66254,66240,65954,66137,66144,66178,66150,66282,66320,66178,66140,66311,66259,66225
65941,65941,65941,65977,65941,65941,65941,66017,65985,65969,65941,65941,66015,66044,65990,65974,66045,66039,66033,66033,66119,66121,66088,66124,66057,66084,66104,66096,66135,66140,66167,66153,66154,66126,66023,66158,66116,66083,66058,66122,66202,66021,66023,66025,66026,66020,66158,66146,66201,66121,66235,66179,66244,66258,66215,66203,66206,66260,65995,66199,66226,66277,66269,66273,66298,66306,66255,66241,65955,66138,66145,66179,66151,66283,66321,66179,66141,66312,66260,66226
65942,65942,65942,65978,65942,65942,65942,66018,65986,65970,65942,65942,66016,66045,65991,65975,66046,66040,66034,66034,66120,66122,66089,66125,66058,66085,66105,66097,66136,66141,66168,66154,66155,66127,66024,66159,66117,66084,66059,66123,66203,66022,66024,66026,66027,66021,66159,66147,66202,66122,66236,66180,66245,66259,66216,66204,66207,66261,65996,66200,66227,66278,66270,66274,66299,66307,66256,66242,65956,66139,66146,66180,66152,66284,66322,66180,66142,66313,66261,66227
65943,65943,65943,65979,65943,65943,65943,66019,65987,65971,65943,65943,66017,66046,65992,65976,66047,66041,66035,66035,66121,66123,66090,66126,66059,66086,66106,66098,66137,66142,66169,66155,66156,66128,66025,66160,66118,66085,66060,66124,66204,66023,66025,66027,66028,66022,66160,66148,66203,66123,66237,66181,66246,66260,66217,66205,66208,66262,65997,66201,66228,66279,66271,66275,66300,66308,66257,66243,65957,66140,66147,66181,66153,66285,66323,66181,66143,66314,66262,66228
65944,65944,65944,65980,65944,65944,65944,66020,65988,65972,65944,65944,66018,66047,65993,65977,66048,66042,66036,66036,66122,66124,66091,66127,66060,66087,66107,66099,66138,66143,66170,66156,66157,66129,66026,66161,66119,66086,66061,66125,66205,66024,66026,66028,66029,66023,66161,66149,66204,66124,66238,66182,66247,66261,66218,66206,66209,66263,65998,66202,66229,66280,66272,66276,66301,66309,66258,66244,65958,66141,66148,66182,66154,66286,66324,66182,66144,66315,66263,66229
65945,65945,65945,65981,65945,65945,65945,66021,65989,65973,65945,65945,66019,66048,65994,65978,66049,66043,66037,66037,66123,66125,66092,66128,66061,66088,66108,66100,66139,66144,66171,66157,66158,66130,66027,66162,66120,66087,66062,66126,66206,66025,66027,66029,66030,66024,66162,66150,66205,66125,66239,66183,66248,66262,66219,66207,66210,66264,65999,66203,66230,66281,66273,66277,66302,66310,66259,66245,65959,66142,66149,66183,66155,66287,66325,66183,66145,66316,66264,66230
65946,65946,65946,65982,65946,65946,65946,66022,65990,65974,65946,65946,66020,66049,65995,65979,66050,66044,66038,66038,66124,66126,66093,66129,66062,66089,66109,66101,66140,66145,66172,66158,66159,66131,66028,66163,66121,66088,66063,66127,66207,66026,66028,66030,66031,66025,66163,66151,66206,66126,66240,66184,66249,66263,66220,66208,66211,66265,66000,66204,66231,66282,66274,66278,66303,66311,66260,66246,65960,66143,66150,66184,66156,66288,66326,66184,66146,66317,66265,66231
65947,65947,65947,65983,65947,65947,65947,66023,65991,65975,65947,65947,66021,66050,65996,65980,66051,66045,66039,66039,66125,66127,66094,66130,66063,66090,66110,66102,66141,66146,66173,66159,66160,66132,66029,66164,66122,66089,66064,66128,66208,66027,66029,66031,66032,66026,66164,66152,66207,66127,66241,66185,66250,66264,66221,66209,66212,66266,66001,66205,66232,66283,66275,66279,66304,66312,66261,66247,65961,66144,66151,66185,66157,66289,66327,66185,66147,66318,66266,66232
65948,65948,65948,65984,65948,65948,65948,66024,65992,65976,65948,65948,66022,66051,65997,65981,66052,66046,66040,66040,66126,66128,66095,66131,66064,66091,66111,66103,66142,66147,66174,66160,66161,66133,66030,66165,66123,66090,66065,66129,66209,66028,66030,66032,66033,66027,66165,66153,66208,66128,66242,66186,66251,66265,66222,66210,66213,66267,66002,66206,66233,66284,66276,66280,66305,66313,66262,66248,65962,66145,66152,66186,66158,66290,66328,66186,66148,66319,66267,66233
65949,65949,65949,65985,65949,65949,65949,66025,65993,65977,65949,65949,66023,66052,65998,65982,66053,66047,66041,66041,66127,66129,66096,66132,66065,66092,66112,66104,66143,66148,66175,66161,66162,66134,66031,66166,66124,66091,66066,66130,66210,66029,66031,66033,66034,66028,66166,66154,66209,66129,66243,66187,66252,66266,66223,66211,66214,66268,66003,66207,66234,66285,66277,66281,66306,66314,66263,66249,65963,66146,66153,66187,66159,66291,66329,66187,66149,66320,66268,66234
65950,65950,65950,65986,65950,65950,65950,66026,65994,65978,65950,65950,66024,66053,65999,65983,66054,66048,66042,66042,66128,66130,66097,66133,66066,66093,66113,66105,66144,66149,66176,66162,66163,66135,66032,66167,66125,66092,66067,66131,66211,66030,66032,66034,66035,66029,66167,66155,66210,66130,66244,66188,66253,66267,66224,66212,66215,66269,66004,66208,66235,66286,66278,66282,66307,66315,66264,66250,65964,66147,66154,66188,66160,66292,66330,66188,66150,66321,66269,66235
