103400,103400,103400,103400,103400,103403,103400,103400,103400,103400,103400,103422,103435,103424,103426,103422,103400,103442,103426,103425,103400,103427,103400,103457,103457,103451,103456,103412,103473,103467,103461,103477,103437,103410,103489,103483,103400,103400,103501,103503,103501,103482,103503,103470,103479,103475,103425,103512,103458,103514,103520,103520,103503,103501,103492,103412,103556,103551,103459,103456,103465,103559,103523,103559,103571,103496,103563,103575,103566,103551,103546,103555,103608,103540,103614,103585,103427,103466,103625,103604,103632,103622,103639,103591,103599,103595,103451,103612,103522,103575,103612,103614,103608,103638,103651,103639,103674,103610,103619,103638,103589,103660,103662,103649,103664,103681,103672,103671,103650,103682,103707,103652,103728,103719,103643,103717,103727,103687,103736,103735,103737,103691,103711,103726,103660,103711,103747,103751,103683,103729,103758,103739,103747,103711,103755,103794,103774,103782,103771,103791,103792,103749,103675,103524,103642,103813,103801,103810,103802,103823,103824,103800,103793,103706,103888,103882,103669,103856,103898,103808,103808,103867,103828,103797,103829,103844,103816,103626,103636,103875,103916,103836,103938,103781,103927,103938,103969,103953,103959,103972,103908,103895
103401,103401,103401,103401,103401,103404,103401,103401,103401,103401,103401,103423,103436,103425,103427,103423,103401,103443,103427,103426,103401,103428,103401,103458,103458,103452,103457,103413,103474,103468,103462,103478,103438,103411,103490,103484,103401,103401,103502,103504,103502,103483,103504,103471,103480,103476,103426,103513,103459,103515,103521,103521,103504,103502,103493,103413,103557,103552,103460,103457,103466,103560,103524,103560,103572,103497,103564,103576,103567,103552,103547,103556,103609,103541,103615,103586,103428,103467,103626,103605,103633,103623,103640,103592,103600,103596,103452,103613,103523,103576,103613,103615,103609,103639,103652,103640,103675,103611,103620,103639,103590,103661,103663,103650,103665,103682,103673,103672,103651,103683,103708,103653,103729,103720,103644,103718,103728,103688,103737,103736,103738,103692,103712,103727,103661,103712,103748,103752,103684,103730,103759,103740,103748,103712,103756,103795,103775,103783,103772,103792,103793,103750,103676,103525,103643,103814,103802,103811,103803,103824,103825,103801,103794,103707,103889,103883,103670,103857,103899,103809,103809,103868,103829,103798,103830,103845,103817,103627,103637,103876,103917,103837,103939,103782,103928,103939,103970,103954,103960,103973,103909,103896
103402,103402,103402,103402,103402,103405,103402,103402,103402,103402,103402,103424,103437,103426,103428,103424,103402,103444,103428,103427,103402,103429,103402,103459,103459,103453,103458,103414,103475,103469,103463,103479,103439,103412,103491,103485,103402,103402,103503,103505,103503,103484,103505,103472,103481,103477,103427,103514,103460,103516,103522,103522,103505,103503,103494,103414,103558,103553,103461,103458,103467,103561,103525,103561,103573,103498,103565,103577,103568,103553,103548,103557,103610,103542,103616,103587,103429,103468,103627,103606,103634,103624,103641,103593,103601,103597,103453,103614,103524,103577,103614,103616,103610,103640,103653,103641,103676,103612,103621,103640,103591,103662,103664,103651,103666,103683,103674,103673,103652,103684,103709,103654,103730,103721,103645,103719,103729,103689,103738,103737,103739,103693,103713,103728,103662,103713,103749,103753,103685,103731,103760,103741,103749,103713,103757,103796,103776,103784,103773,103793,103794,103751,103677,103526,103644,103815,103803,103812,103804,103825,103826,103802,103795,103708,103890,103884,103671,103858,103900,103810,103810,103869,103830,103799,103831,103846,103818,103628,103638,103877,103918,103838,103940,103783,103929,103940,103971,103955,103961,103974,103910,103897
103403,103403,103403,103403,103403,103406,103403,103403,103403,103403,103403,103425,103438,103427,103429,103425,103403,103445,103429,103428,103403,103430,103403,103460,103460,103454,103459,103415,103476,103470,103464,103480,103440,103413,103492,103486,103403,103403,103504,103506,103504,103485,103506,103473,103482,103478,103428,103515,103461,103517,103523,103523,103506,103504,103495,103415,103559,103554,103462,103459,103468,103562,103526,103562,103574,103499,103566,103578,103569,103554,103549,103558,103611,103543,103617,103588,103430,103469,103628,103607,103635,103625,103642,103594,103602,103598,103454,103615,103525,103578,103615,103617,103611,103641,103654,103642,103677,103613,103622,103641,103592,103663,103665,103652,103667,103684,103675,103674,103653,103685,103710,103655,103731,103722,103646,103720,103730,103690,103739,103738,103740,103694,103714,103729,103663,103714,103750,103754,103686,103732,103761,103742,103750,103714,103758,103797,103777,103785,103774,103794,103795,103752,103678,103527,103645,103816,103804,103813,103805,103826,103827,103803,103796,103709,103891,103885,103672,103859,103901,103811,103811,103870,103831,103800,103832,103847,103819,103629,103639,103878,103919,103839,103941,103784,103930,103941,103972,103956,103962,103975,103911,103898
103404,103404,103404,103404,103404,103407,103404,103404,103404,103404,103404,103426,103439,103428,103430,103426,103404,103446,103430,103429,103404,103431,103404,103461,103461,103455,103460,103416,103477,103471,103465,103481,103441,103414,103493,103487,103404,103404,103505,103507,103505,103486,103507,103474,103483,103479,103429,103516,103462,103518,103524,103524,103507,103505,103496,103416,103560,103555,103463,103460,103469,103563,103527,103563,103575,103500,103567,103579,103570,103555,103550,103559,103612,103544,103618,103589,103431,103470,103629,103608,103636,103626,103643,103595,103603,103599,103455,103616,103526,103579,103616,103618,103612,103642,103655,103643,103678,103614,103623,103642,103593,103664,103666,103653,103668,103685,103676,103675,103654,103686,103711,103656,103732,103723,103647,103721,103731,103691,103740,103739,103741,103695,103715,103730,103664,103715,103751,103755,103687,103733,103762,103743,103751,103715,103759,103798,103778,103786,103775,103795,103796,103753,103679,103528,103646,103817,103805,103814,103806,103827,103828,103804,103797,103710,103892,103886,103673,103860,103902,103812,103812,103871,103832,103801,103833,103848,103820,103630,103640,103879,103920,103840,103942,103785,103931,103942,103973,103957,103963,103976,103912,103899
103405,103405,103405,103405,103405,103408,103405,103405,103405,103405,103405,103427,103440,103429,103431,103427,103405,103447,103431,103430,103405,103432,103405,103462,103462,103456,103461,103417,103478,103472,103466,103482,103442,103415,103494,103488,103405,103405,103506,103508,103506,103487,103508,103475,103484,103480,103430,103517,103463,103519,103525,103525,103508,103506,103497,103417,103561,103556,103464,103461,103470,103564,103528,103564,103576,103501,103568,103580,103571,103556,103551,103560,103613,103545,103619,103590,103432,103471,103630,103609,103637,103627,103644,103596,103604,103600,103456,103617,103527,103580,103617,103619,103613,103643,103656,103644,103679,103615,103624,103643,103594,103665,103667,103654,103669,103686,103677,103676,103655,103687,103712,103657,103733,103724,103648,103722,103732,103692,103741,103740,103742,103696,103716,103731,103665,103716,103752,103756,103688,103734,103763,103744,103752,103716,103760,103799,103779,103787,103776,103796,103797,103754,103680,103529,103647,103818,103806,103815,103807,103828,103829,103805,103798,103711,103893,103887,103674,103861,103903,103813,103813,103872,103833,103802,103834,103849,103821,103631,103641,103880,103921,103841,103943,103786,103932,103943,103974,103958,103964,103977,103913,103900
103406,103406,103406,103406,103406,103409,103406,103406,103406,103406,103406,103428,103441,103430,103432,103428,103406,103448,103432,103431,103406,103433,103406,103463,103463,103457,103462,103418,103479,103473,103467,103483,103443,103416,103495,103489,103406,103406,103507,103509,103507,103488,103509,103476,103485,103481,103431,103518,103464,103520,103526,103526,103509,103507,103498,103418,103562,103557,103465,103462,103471,103565,103529,103565,103577,103502,103569,103581,103572,103557,103552,103561,103614,103546,103620,103591,103433,103472,103631,103610,103638,103628,103645,103597,103605,103601,103457,103618,103528,103581,103618,103620,103614,103644,103657,103645,103680,103616,103625,103644,103595,103666,103668,103655,103670,103687,103678,103677,103656,103688,103713,103658,103734,103725,103649,103723,103733,103693,103742,103741,103743,103697,103717,103732,103666,103717,103753,103757,103689,103735,103764,103745,103753,103717,103761,103800,103780,103788,103777,103797,103798,103755,103681,103530,103648,103819,103807,103816,103808,103829,103830,103806,103799,103712,103894,103888,103675,103862,103904,103814,103814,103873,103834,103803,103835,103850,103822,103632,103642,103881,103922,103842,103944,103787,103933,103944,103975,103959,103965,103978,103914,103901
103407,103407,103407,103407,103407,103410,103407,103407,103407,103407,103407,103429,103442,103431,103433,103429,103407,103449,103433,103432,103407,103434,103407,103464,103464,103458,103463,103419,103480,103474,103468,103484,103444,103417,103496,103490,103407,103407,103508,103510,103508,103489,103510,103477,103486,103482,103432,103519,103465,103521,103527,103527,103510,103508,103499,103419,103563,103558,103466,103463,103472,103566,103530,103566,103578,103503,103570,103582,103573,103558,103553,103562,103615,103547,103621,103592,103434,103473,103632,103611,103639,103629,103646,103598,103606,103602,103458,103619,103529,103582,103619,103621,103615,103645,103658,103646,103681,103617,103626,103645,103596,103667,103669,103656,103671,103688,103679,103678,103657,103689,103714,103659,103735,103726,103650,103724,103734,103694,103743,103742,103744,103698,103718,103733,103667,103718,103754,103758,103690,103736,103765,103746,103754,103718,103762,103801,103781,103789,103778,103798,103799,103756,103682,103531,103649,103820,103808,103817,103809,103830,103831,103807,103800,103713,103895,103889,103676,103863,103905,103815,103815,103874,103835,103804,103836,103851,103823,103633,103643,103882,103923,103843,103945,103788,103934,103945,103976,103960,103966,103979,103915,103902
103408,103408,103408,103408,103408,103411,103408,103408,103408,103408,103408,103430,103443,103432,103434,103430,103408,103450,103434,103433,103408,103435,103408,103465,103465,103459,103464,103420,103481,103475,103469,103485,103445,103418,103497,103491,103408,103408,103509,103511,103509,103490,103511,103478,103487,103483,103433,103520,103466,103522,103528,103528,103511,103509,103500,103420,103564,103559,103467,103464,103473,103567,103531,103567,103579,103504,103571,103583,103574,103559,103554,103563,103616,103548,103622,103593,103435,103474,103633,103612,103640,103630,103647,103599,103607,103603,103459,103620,103530,103583,103620,103622,103616,103646,103659,103647,103682,103618,103627,103646,103597,103668,103670,103657,103672,103689,103680,103679,103658,103690,103715,103660,103736,103727,103651,103725,103735,103695,103744,103743,103745,103699,103719,103734,103668,103719,103755,103759,103691,103737,103766,103747,103755,103719,103763,103802,103782,103790,103779,103799,103800,103757,103683,103532,103650,103821,103809,103818,103810,103831,103832,103808,103801,103714,103896,103890,103677,103864,103906,103816,103816,103875,103836,103805,103837,103852,103824,103634,103644,103883,103924,103844,103946,103789,103935,103946,103977,103961,103967,103980,103916,103903
103409,103409,103409,103409,103409,103412,103409,103409,103409,103409,103409,103431,103444,103433,103435,103431,103409,103451,103435,103434,103409,103436,103409,103466,103466,103460,103465,103421,103482,103476,103470,103486,103446,103419,103498,103492,103409,103409,103510,103512,103510,103491,103512,103479,103488,103484,103434,103521,103467,103523,103529,103529,103512,103510,103501,103421,103565,103560,103468,103465,103474,103568,103532,103568,103580,103505,103572,103584,103575,103560,103555,103564,103617,103549,103623,103594,103436,103475,103634,103613,103641,103631,103648,103600,103608,103604,103460,103621,103531,103584,103621,103623,103617,103647,103660,103648,103683,103619,103628,103647,103598,103669,103671,103658,103673,103690,103681,103680,103659,103691,103716,103661,103737,103728,103652,103726,103736,103696,103745,103744,103746,103700,103720,103735,103669,103720,103756,103760,103692,103738,103767,103748,103756,103720,103764,103803,103783,103791,103780,103800,103801,103758,103684,103533,103651,103822,103810,103819,103811,103832,103833,103809,103802,103715,103897,103891,103678,103865,103907,103817,103817,103876,103837,103806,103838,103853,103825,103635,103645,103884,103925,103845,103947,103790,103936,103947,103978,103962,103968,103981,103917,103904
