49040,49040,49042,49040,49042,49045,49082,49111,49040,49101,49040,49074,49103,49095,49050,49159,49048,49161,49151,49044,49107,49141,49097,49166,49040,49047,49223,49194,49194,49121,49134,49104,49146,49040,49137,49086,49040,49179,49223,49171,49181,49165,49185,49308,49345,49370,49350,49270,49407,49040,49040,49040,49190,49181,49077,49102,49156,49158,49158,49088,49151,49123,49139,49066,49337,49487,49318,49268,49056,49354,49420,49235,49412,49366,49405,49245,49246,49247,49224,49221,49248,49355,49225
49041,49041,49043,49041,49043,49046,49083,49112,49041,49102,49041,49075,49104,49096,49051,49160,49049,49162,49152,49045,49108,49142,49098,49167,49041,49048,49224,49195,49195,49122,49135,49105,49147,49041,49138,49087,49041,49180,49224,49172,49182,49166,49186,49309,49346,49371,49351,49271,49408,49041,49041,49041,49191,49182,49078,49103,49157,49159,49159,49089,49152,49124,49140,49067,49338,49488,49319,49269,49057,49355,49421,49236,49413,49367,49406,49246,49247,49248,49225,49222,49249,49356,49226
49042,49042,49044,49042,49044,49047,49084,49113,49042,49103,49042,49076,49105,49097,49052,49161,49050,49163,49153,49046,49109,49143,49099,49168,49042,49049,49225,49196,49196,49123,49136,49106,49148,49042,49139,49088,49042,49181,49225,49173,49183,49167,49187,49310,49347,49372,49352,49272,49409,49042,49042,49042,49192,49183,49079,49104,49158,49160,49160,49090,49153,49125,49141,49068,49339,49489,49320,49270,49058,49356,49422,49237,49414,49368,49407,49247,49248,49249,49226,49223,49250,49357,49227
49043,49043,49045,49043,49045,49048,49085,49114,49043,49104,49043,49077,49106,49098,49053,49162,49051,49164,49154,49047,49110,49144,49100,49169,49043,49050,49226,49197,49197,49124,49137,49107,49149,49043,49140,49089,49043,49182,49226,49174,49184,49168,49188,49311,49348,49373,49353,49273,49410,49043,49043,49043,49193,49184,49080,49105,49159,49161,49161,49091,49154,49126,49142,49069,49340,49490,49321,49271,49059,49357,49423,49238,49415,49369,49408,49248,49249,49250,49227,49224,49251,49358,49228
49044,49044,49046,49044,49046,49049,49086,49115,49044,49105,49044,49078,49107,49099,49054,49163,49052,49165,49155,49048,49111,49145,49101,49170,49044,49051,49227,49198,49198,49125,49138,49108,49150,49044,49141,49090,49044,49183,49227,49175,49185,49169,49189,49312,49349,49374,49354,49274,49411,49044,49044,49044,49194,49185,49081,49106,49160,49162,49162,49092,49155,49127,49143,49070,49341,49491,49322,49272,49060,49358,49424,49239,49416,49370,49409,49249,49250,49251,49228,49225,49252,49359,49229
49045,49045,49047,49045,49047,49050,49087,49116,49045,49106,49045,49079,49108,49100,49055,49164,49053,49166,49156,49049,49112,49146,49102,49171,49045,49052,49228,49199,49199,49126,49139,49109,49151,49045,49142,49091,49045,49184,49228,49176,49186,49170,49190,49313,49350,49375,49355,49275,49412,49045,49045,49045,49195,49186,49082,49107,49161,49163,49163,49093,49156,49128,49144,49071,49342,49492,49323,49273,49061,49359,49425,49240,49417,49371,49410,49250,49251,49252,49229,49226,49253,49360,49230
49046,49046,49048,49046,49048,49051,49088,49117,49046,49107,49046,49080,49109,49101,49056,49165,49054,49167,49157,49050,49113,49147,49103,49172,49046,49053,49229,49200,49200,49127,49140,49110,49152,49046,49143,49092,49046,49185,49229,49177,49187,49171,49191,49314,49351,49376,49356,49276,49413,49046,49046,49046,49196,49187,49083,49108,49162,49164,49164,49094,49157,49129,49145,49072,49343,49493,49324,49274,49062,49360,49426,49241,49418,49372,49411,49251,49252,49253,49230,49227,49254,49361,49231
49047,49047,49049,49047,49049,49052,49089,49118,49047,49108,49047,49081,49110,49102,49057,49166,49055,49168,49158,49051,49114,49148,49104,49173,49047,49054,49230,49201,49201,49128,49141,49111,49153,49047,49144,49093,49047,49186,49230,49178,49188,49172,49192,49315,49352,49377,49357,49277,49414,49047,49047,49047,49197,49188,49084,49109,49163,49165,49165,49095,49158,49130,49146,49073,49344,49494,49325,49275,49063,49361,49427,49242,49419,49373,49412,49252,49253,49254,49231,49228,49255,49362,49232
49048,49048,49050,49048,49050,49053,49090,49119,49048,49109,49048,49082,49111,49103,49058,49167,49056,49169,49159,49052,49115,49149,49105,49174,49048,49055,49231,49202,49202,49129,49142,49112,49154,49048,49145,49094,49048,49187,49231,49179,49189,49173,49193,49316,49353,49378,49358,49278,49415,49048,49048,49048,49198,49189,49085,49110,49164,49166,49166,49096,49159,49131,49147,49074,49345,49495,49326,49276,49064,49362,49428,49243,49420,49374,49413,49253,49254,49255,49232,49229,49256,49363,49233
49049,49049,49051,49049,49051,49054,49091,49120,49049,49110,49049,49083,49112,49104,49059,49168,49057,49170,49160,49053,49116,49150,49106,49175,49049,49056,49232,49203,49203,49130,49143,49113,49155,49049,49146,49095,49049,49188,49232,49180,49190,49174,49194,49317,49354,49379,49359,49279,49416,49049,49049,49049,49199,49190,49086,49111,49165,49167,49167,49097,49160,49132,49148,49075,49346,49496,49327,49277,49065,49363,49429,49244,49421,49375,49414,49254,49255,49256,49233,49230,49257,49364,49234
49050,49050,49052,49050,49052,49055,49092,49121,49050,49111,49050,49084,49113,49105,49060,49169,49058,49171,49161,49054,49117,49151,49107,49176,49050,49057,49233,49204,49204,49131,49144,49114,49156,49050,49147,49096,49050,49189,49233,49181,49191,49175,49195,49318,49355,49380,49360,49280,49417,49050,49050,49050,49200,49191,49087,49112,49166,49168,49168,49098,49161,49133,49149,49076,49347,49497,49328,49278,49066,49364,49430,49245,49422,49376,49415,49255,49256,49257,49234,49231,49258,49365,49235
49051,49051,49053,49051,49053,49056,49093,49122,49051,49112,49051,49085,49114,49106,49061,49170,49059,49172,49162,49055,49118,49152,49108,49177,49051,49058,49234,49205,49205,49132,49145,49115,49157,49051,49148,49097,49051,49190,49234,49182,49192,49176,49196,49319,49356,49381,49361,49281,49418,49051,49051,49051,49201,49192,49088,49113,49167,49169,49169,49099,49162,49134,49150,49077,49348,49498,49329,49279,49067,49365,49431,49246,49423,49377,49416,49256,49257,49258,49235,49232,49259,49366,49236
49052,49052,49054,49052,49054,49057,49094,49123,49052,49113,49052,49086,49115,49107,49062,49171,49060,49173,49163,49056,49119,49153,49109,49178,49052,49059,49235,49206,49206,49133,49146,49116,49158,49052,49149,49098,49052,49191,49235,49183,49193,49177,49197,49320,49357,49382,49362,49282,49419,49052,49052,49052,49202,49193,49089,49114,49168,49170,49170,49100,49163,49135,49151,49078,49349,49499,49330,49280,49068,49366,49432,49247,49424,49378,49417,49257,49258,49259,49236,49233,49260,49367,49237
49053,49053,49055,49053,49055,49058,49095,49124,49053,49114,49053,49087,49116,49108,49063,49172,49061,49174,49164,49057,49120,49154,49110,49179,49053,49060,49236,49207,49207,49134,49147,49117,49159,49053,49150,49099,49053,49192,49236,49184,49194,49178,49198,49321,49358,49383,49363,49283,49420,49053,49053,49053,49203,49194,49090,49115,49169,49171,49171,49101,49164,49136,49152,49079,49350,49500,49331,49281,49069,49367,49433,49248,49425,49379,49418,49258,49259,49260,49237,49234,49261,49368,49238
49054,49054,49056,49054,49056,49059,49096,49125,49054,49115,49054,49088,49117,49109,49064,49173,49062,49175,49165,49058,49121,49155,49111,49180,49054,49061,49237,49208,49208,49135,49148,49118,49160,49054,49151,49100,49054,49193,49237,49185,49195,49179,49199,49322,49359,49384,49364,49284,49421,49054,49054,49054,49204,49195,49091,49116,49170,49172,49172,49102,49165,49137,49153,49080,49351,49501,49332,49282,49070,49368,49434,49249,49426,49380,49419,49259,49260,49261,49238,49235,49262,49369,49239
