64800,64800,64800,64800,64800,64800,64800,64810,64826,64805,64800,64815,64800,64800,64800,64800,64810,64800,64800,64800,64842,64825,64847,64831,64835,64835,64867,64847,64861,64866,64849,64846,64857,64845,64800,64878,64873,64880,64862,64888,64889,64882,64886,64805,64800,64800,64800,64915,64914,64838,64885,64800,64895,64886,64897,64827,64899,64809,64800,64800,64904,64808,64948,64800,64884,64821,64983,64968,64922,64966,64992,64998,64953,65016,65006,64981,64972,64947,65022,64960,65032,65021,64970,65016,64990,64994,65001,65003,64979,64949,64944,64948,65011,65023,64898,65017,64977,65022,64947,64938,65054,65058,64922,64926,64970,65086,65028,64945,64969,65124,65100,65120,65130,64939,64913,64957,64939,65034,65044,64925,65137,65133,65130,65121,65099,65078,65103,65152,65076,65157,65141,65141,65188,65051,65157,65209,65117,65159,65100,65167,65072,65124,65194,65145,65193,65195,65146,65151,65140,65092,65189,64970,64950,65161,65146,65042,65018,64927,65221,65023,64967,64980
64801,64801,64801,64801,64801,64801,64801,64811,64827,64806,64801,64816,64801,64801,64801,64801,64811,64801,64801,64801,64843,64826,64848,64832,64836,64836,64868,64848,64862,64867,64850,64847,64858,64846,64801,64879,64874,64881,64863,64889,64890,64883,64887,64806,64801,64801,64801,64916,64915,64839,64886,64801,64896,64887,64898,64828,64900,64810,64801,64801,64905,64809,64949,64801,64885,64822,64984,64969,64923,64967,64993,64999,64954,65017,65007,64982,64973,64948,65023,64961,65033,65022,64971,65017,64991,64995,65002,65004,64980,64950,64945,64949,65012,65024,64899,65018,64978,65023,64948,64939,65055,65059,64923,64927,64971,65087,65029,64946,64970,65125,65101,65121,65131,64940,64914,64958,64940,65035,65045,64926,65138,65134,65131,65122,65100,65079,65104,65153,65077,65158,65142,65142,65189,65052,65158,65210,65118,65160,65101,65168,65073,65125,65195,65146,65194,65196,65147,65152,65141,65093,65190,64971,64951,65162,65147,65043,65019,64928,65222,65024,64968,64981
64802,64802,64802,64802,64802,64802,64802,64812,64828,64807,64802,64817,64802,64802,64802,64802,64812,64802,64802,64802,64844,64827,64849,64833,64837,64837,64869,64849,64863,64868,64851,64848,64859,64847,64802,64880,64875,64882,64864,64890,64891,64884,64888,64807,64802,64802,64802,64917,64916,64840,64887,64802,64897,64888,64899,64829,64901,64811,64802,64802,64906,64810,64950,64802,64886,64823,64985,64970,64924,64968,64994,65000,64955,65018,65008,64983,64974,64949,65024,64962,65034,65023,64972,65018,64992,64996,65003,65005,64981,64951,64946,64950,65013,65025,64900,65019,64979,65024,64949,64940,65056,65060,64924,64928,64972,65088,65030,64947,64971,65126,65102,65122,65132,64941,64915,64959,64941,65036,65046,64927,65139,65135,65132,65123,65101,65080,65105,65154,65078,65159,65143,65143,65190,65053,65159,65211,65119,65161,65102,65169,65074,65126,65196,65147,65195,65197,65148,65153,65142,65094,65191,64972,64952,65163,65148,65044,65020,64929,65223,65025,64969,64982
64803,64803,64803,64803,64803,64803,64803,64813,64829,64808,64803,64818,64803,64803,64803,64803,64813,64803,64803,64803,64845,64828,64850,64834,64838,64838,64870,64850,64864,64869,64852,64849,64860,64848,64803,64881,64876,64883,64865,64891,64892,64885,64889,64808,64803,64803,64803,64918,64917,64841,64888,64803,64898,64889,64900,64830,64902,64812,64803,64803,64907,64811,64951,64803,64887,64824,64986,64971,64925,64969,64995,65001,64956,65019,65009,64984,64975,64950,65025,64963,65035,65024,64973,65019,64993,64997,65004,65006,64982,64952,64947,64951,65014,65026,64901,65020,64980,65025,64950,64941,65057,65061,64925,64929,64973,65089,65031,64948,64972,65127,65103,65123,65133,64942,64916,64960,64942,65037,65047,64928,65140,65136,65133,65124,65102,65081,65106,65155,65079,65160,65144,65144,65191,65054,65160,65212,65120,65162,65103,65170,65075,65127,65197,65148,65196,65198,65149,65154,65143,65095,65192,64973,64953,65164,65149,65045,65021,64930,65224,65026,64970,64983
64804,64804,64804,64804,64804,64804,64804,64814,64830,64809,64804,64819,64804,64804,64804,64804,64814,64804,64804,64804,64846,64829,64851,64835,64839,64839,64871,64851,64865,64870,64853,64850,64861,64849,64804,64882,64877,64884,64866,64892,64893,64886,64890,64809,64804,64804,64804,64919,64918,64842,64889,64804,64899,64890,64901,64831,64903,64813,64804,64804,64908,64812,64952,64804,64888,64825,64987,64972,64926,64970,64996,65002,64957,65020,65010,64985,64976,64951,65026,64964,65036,65025,64974,65020,64994,64998,65005,65007,64983,64953,64948,64952,65015,65027,64902,65021,64981,65026,64951,64942,65058,65062,64926,64930,64974,65090,65032,64949,64973,65128,65104,65124,65134,64943,64917,64961,64943,65038,65048,64929,65141,65137,65134,65125,65103,65082,65107,65156,65080,65161,65145,65145,65192,65055,65161,65213,65121,65163,65104,65171,65076,65128,65198,65149,65197,65199,65150,65155,65144,65096,65193,64974,64954,65165,65150,65046,65022,64931,65225,65027,64971,64984
64805,64805,64805,64805,64805,64805,64805,64815,64831,64810,64805,64820,64805,64805,64805,64805,64815,64805,64805,64805,64847,64830,64852,64836,64840,64840,64872,64852,64866,64871,64854,64851,64862,64850,64805,64883,64878,64885,64867,64893,64894,64887,64891,64810,64805,64805,64805,64920,64919,64843,64890,64805,64900,64891,64902,64832,64904,64814,64805,64805,64909,64813,64953,64805,64889,64826,64988,64973,64927,64971,64997,65003,64958,65021,65011,64986,64977,64952,65027,64965,65037,65026,64975,65021,64995,64999,65006,65008,64984,64954,64949,64953,65016,65028,64903,65022,64982,65027,64952,64943,65059,65063,64927,64931,64975,65091,65033,64950,64974,65129,65105,65125,65135,64944,64918,64962,64944,65039,65049,64930,65142,65138,65135,65126,65104,65083,65108,65157,65081,65162,65146,65146,65193,65056,65162,65214,65122,65164,65105,65172,65077,65129,65199,65150,65198,65200,65151,65156,65145,65097,65194,64975,64955,65166,65151,65047,65023,64932,65226,65028,64972,64985
64806,64806,64806,64806,64806,64806,64806,64816,64832,64811,64806,64821,64806,64806,64806,64806,64816,64806,64806,64806,64848,64831,64853,64837,64841,64841,64873,64853,64867,64872,64855,64852,64863,64851,64806,64884,64879,64886,64868,64894,64895,64888,64892,64811,64806,64806,64806,64921,64920,64844,64891,64806,64901,64892,64903,64833,64905,64815,64806,64806,64910,64814,64954,64806,64890,64827,64989,64974,64928,64972,64998,65004,64959,65022,65012,64987,64978,64953,65028,64966,65038,65027,64976,65022,64996,65000,65007,65009,64985,64955,64950,64954,65017,65029,64904,65023,64983,65028,64953,64944,65060,65064,64928,64932,64976,65092,65034,64951,64975,65130,65106,65126,65136,64945,64919,64963,64945,65040,65050,64931,65143,65139,65136,65127,65105,65084,65109,65158,65082,65163,65147,65147,65194,65057,65163,65215,65123,65165,65106,65173,65078,65130,65200,65151,65199,65201,65152,65157,65146,65098,65195,64976,64956,65167,65152,65048,65024,64933,65227,65029,64973,64986
64807,64807,64807,64807,64807,64807,64807,64817,64833,64812,64807,64822,64807,64807,64807,64807,64817,64807,64807,64807,64849,64832,64854,64838,64842,64842,64874,64854,64868,64873,64856,64853,64864,64852,64807,64885,64880,64887,64869,64895,64896,64889,64893,64812,64807,64807,64807,64922,64921,64845,64892,64807,64902,64893,64904,64834,64906,64816,64807,64807,64911,64815,64955,64807,64891,64828,64990,64975,64929,64973,64999,65005,64960,65023,65013,64988,64979,64954,65029,64967,65039,65028,64977,65023,64997,65001,65008,65010,64986,64956,64951,64955,65018,65030,64905,65024,64984,65029,64954,64945,65061,65065,64929,64933,64977,65093,65035,64952,64976,65131,65107,65127,65137,64946,64920,64964,64946,65041,65051,64932,65144,65140,65137,65128,65106,65085,65110,65159,65083,65164,65148,65148,65195,65058,65164,65216,65124,65166,65107,65174,65079,65131,65201,65152,65200,65202,65153,65158,65147,65099,65196,64977,64957,65168,65153,65049,65025,64934,65228,65030,64974,64987
64808,64808,64808,64808,64808,64808,64808,64818,64834,64813,64808,64823,64808,64808,64808,64808,64818,64808,64808,64808,64850,64833,64855,64839,64843,64843,64875,64855,64869,64874,64857,64854,64865,64853,64808,64886,64881,64888,64870,64896,64897,64890,64894,64813,64808,64808,64808,64923,64922,64846,64893,64808,64903,64894,64905,64835,64907,64817,64808,64808,64912,64816,64956,64808,64892,64829,64991,64976,64930,64974,65000,65006,64961,65024,65014,64989,64980,64955,65030,64968,65040,65029,64978,65024,64998,65002,65009,65011,64987,64957,64952,64956,65019,65031,64906,65025,64985,65030,64955,64946,65062,65066,64930,64934,64978,65094,65036,64953,64977,65132,65108,65128,65138,64947,64921,64965,64947,65042,65052,64933,65145,65141,65138,65129,65107,65086,65111,65160,65084,65165,65149,65149,65196,65059,65165,65217,65125,65167,65108,65175,65080,65132,65202,65153,65201,65203,65154,65159,65148,65100,65197,64978,64958,65169,65154,65050,65026,64935,65229,65031,64975,64988
64809,64809,64809,64809,64809,64809,64809,64819,64835,64814,64809,64824,64809,64809,64809,64809,64819,64809,64809,64809,64851,64834,64856,64840,64844,64844,64876,64856,64870,64875,64858,64855,64866,64854,64809,64887,64882,64889,64871,64897,64898,64891,64895,64814,64809,64809,64809,64924,64923,64847,64894,64809,64904,64895,64906,64836,64908,64818,64809,64809,64913,64817,64957,64809,64893,64830,64992,64977,64931,64975,65001,65007,64962,65025,65015,64990,64981,64956,65031,64969,65041,65030,64979,65025,64999,65003,65010,65012,64988,64958,64953,64957,65020,65032,64907,65026,64986,65031,64956,64947,65063,65067,64931,64935,64979,65095,65037,64954,64978,65133,65109,65129,65139,64948,64922,64966,64948,65043,65053,64934,65146,65142,65139,65130,65108,65087,65112,65161,65085,65166,65150,65150,65197,65060,65166,65218,65126,65168,65109,65176,65081,65133,65203,65154,65202,65204,65155,65160,65149,65101,65198,64979,64959,65170,65155,65051,65027,64936,65230,65032,64976,64989
