0.02739,0.0182,0.0342,0.03811,0.01972,0.04728,0.02305,0.003971,0.06285,0.0098,0.03137,0.04356,0.0382,0.03279,0.02145,0.07814,0.02335,0.07692,0.01769,0.03307,-0.02226,-0.0549,0.03315,-0.03308,-0.0265,-0.05373,0.002441,-0.04279,0.05677,0.01775
0.02716,0.0182,0.0342,0.03811,0.01972,0.06605,0.02114,0.01468,0.06285,0.0098,0.02861,0.03729,0.0382,0.02774,0.02057,0.07814,0.02262,0.07258,0.01743,0.03307,-0.0278,-0.05487,0.03315,-0.02602,-0.02833,-0.05373,-0.005299,-0.04279,0.05677,0.01775
0.02896,0.02073,0.03639,0.04027,0.02299,0.0819,0.01574,0.02049,0.05587,0.007385,0.02182,0.03604,0.03432,0.02949,0.01901,0.07322,0.02174,0.06981,0.01665,0.0332,-0.02934,-0.05469,0.02359,-0.02954,-0.02991,-0.04837,-0.0124,-0.02849,0.05296,0.01924
0.0286,0.02034,0.04099,0.04129,0.01967,0.08145,0.01501,0.02214,0.0537,0.003284,0.01674,0.03777,0.03559,0.03274,0.01841,0.07166,0.02059,0.04414,0.01766,0.03369,-0.02891,-0.05821,0.03075,-0.03268,-0.03478,-0.04645,-0.01435,-0.02737,0.05191,0.01943
0.02638,0.02098,0.04483,0.04036,0.0205,0.07242,0.01556,0.01956,0.05151,0.009457,0.02171,0.0403,0.03465,0.03249,0.01804,0.05753,0.01975,0.0308,0.01837,0.03744,-0.03177,-0.05497,0.03105,-0.03747,-0.0416,-0.04225,-0.01506,-0.02885,0.05159,0.0233
0.02638,0.02454,0.04669,0.04104,0.02175,0.0603,0.01637,0.02082,0.04072,0.02034,0.02217,0.04028,0.03503,0.03164,0.01811,0.04331,0.01992,0.02045,0.01878,0.04243,-0.03491,-0.05458,0.02988,-0.04376,-0.03952,-0.04213,-0.0118,-0.02835,0.05404,0.03186
0.02609,0.02547,0.04885,0.04241,0.0239,0.0514,0.01536,0.01966,0.03763,0,0.02364,0.03757,0.03358,0.03176,0.01821,0.0337,0.02054,0.01874,0.01918,0.04475,-0.0383,-0.04982,0.02982,-0.04697,-0.04168,-0.04457,-0.01386,-0.02573,0.05657,0.03309
0.02571,0.02277,0.04862,0.04326,0.04462,0.03753,0.01567,0.01788,0.03647,0,0.02613,0.03964,0.03452,0.0313,0.01829,0.02329,0.02105,0.01234,0.01973,0.05047,-0.04292,-0.04883,0.034,-0.05171,-0.04796,-0.04474,-0.01242,-0.02447,0.05872,0.03769
0.02407,0.02778,0.04456,0.04223,0.04824,0,0.01671,0.01974,0.0342,0,0.02991,0.03932,0.03512,0.03068,0.01869,0.01635,0.02215,0.01122,0.0201,0.05347,-0.05138,-0.04623,0.02815,-0.056,-0.0304,-0.04061,-0.01001,-0.02277,0.06117,0.03863
0.02396,0.02919,0.04042,0.04235,0.06109,0,0.0162,0.02407,0.03616,0,0.02761,0.03802,0.03521,0.02875,0.01931,0.01193,0.02419,0.009457,0.02009,0.06021,-0.05922,-0.04556,0.03098,-0.05927,-0.02985,-0.0368,-0.007379,-0.02369,0.06432,0.0435
0.02593,0.03197,0.03493,0.04209,0.06871,0,0.01307,0.02278,0.05275,0,0.02734,0.03774,0.03456,0.03119,0.02104,0.007786,0.02489,0.0081,0.02023,0.06052,-0.06371,-0.04189,0.03164,-0.06097,-0.02775,-0.03652,-0.006545,-0.02196,0.06379,0.04597
0.02413,0.0385,0.032,0.04018,0.07206,0,0.0178,0.0228,0.06195,0,0.03096,0.04114,0.03613,0.03182,0.02248,0,0.02509,0,0.02052,0.06347,-0.06688,-0.0406,0.03298,-0.06348,-0.02628,-0.03808,-0.002636,-0.02181,0.06149,0.0508
