41050,41050,41050,41069,41073,41050,41107,41121,41110,41050,41172,41186,41190,41177,41175,41118,41237,41178,41160,41251,41237,41252,41280,41282,41265,41374,41404,41254,41388,41362,41246,41414,41418,41388,41050,41274,41212,41261,41050,41501,41465,41451,41443,41285,41470,41438
41051,41051,41051,41070,41074,41051,41108,41122,41111,41051,41173,41187,41191,41178,41176,41119,41238,41179,41161,41252,41238,41253,41281,41283,41266,41375,41405,41255,41389,41363,41247,41415,41419,41389,41051,41275,41213,41262,41051,41502,41466,41452,41444,41286,41471,41439
41052,41052,41052,41071,41075,41052,41109,41123,41112,41052,41174,41188,41192,41179,41177,41120,41239,41180,41162,41253,41239,41254,41282,41284,41267,41376,41406,41256,41390,41364,41248,41416,41420,41390,41052,41276,41214,41263,41052,41503,41467,41453,41445,41287,41472,41440
41053,41053,41053,41072,41076,41053,41110,41124,41113,41053,41175,41189,41193,41180,41178,41121,41240,41181,41163,41254,41240,41255,41283,41285,41268,41377,41407,41257,41391,41365,41249,41417,41421,41391,41053,41277,41215,41264,41053,41504,41468,41454,41446,41288,41473,41441
41054,41054,41054,41073,41077,41054,41111,41125,41114,41054,41176,41190,41194,41181,41179,41122,41241,41182,41164,41255,41241,41256,41284,41286,41269,41378,41408,41258,41392,41366,41250,41418,41422,41392,41054,41278,41216,41265,41054,41505,41469,41455,41447,41289,41474,41442
41055,41055,41055,41074,41078,41055,41112,41126,41115,41055,41177,41191,41195,41182,41180,41123,41242,41183,41165,41256,41242,41257,41285,41287,41270,41379,41409,41259,41393,41367,41251,41419,41423,41393,41055,41279,41217,41266,41055,41506,41470,41456,41448,41290,41475,41443
41056,41056,41056,41075,41079,41056,41113,41127,41116,41056,41178,41192,41196,41183,41181,41124,41243,41184,41166,41257,41243,41258,41286,41288,41271,41380,41410,41260,41394,41368,41252,41420,41424,41394,41056,41280,41218,41267,41056,41507,41471,41457,41449,41291,41476,41444
41057,41057,41057,41076,41080,41057,41114,41128,41117,41057,41179,41193,41197,41184,41182,41125,41244,41185,41167,41258,41244,41259,41287,41289,41272,41381,41411,41261,41395,41369,41253,41421,41425,41395,41057,41281,41219,41268,41057,41508,41472,41458,41450,41292,41477,41445
41058,41058,41058,41077,41081,41058,41115,41129,41118,41058,41180,41194,41198,41185,41183,41126,41245,41186,41168,41259,41245,41260,41288,41290,41273,41382,41412,41262,41396,41370,41254,41422,41426,41396,41058,41282,41220,41269,41058,41509,41473,41459,41451,41293,41478,41446
41059,41059,41059,41078,41082,41059,41116,41130,41119,41059,41181,41195,41199,41186,41184,41127,41246,41187,41169,41260,41246,41261,41289,41291,41274,41383,41413,41263,41397,41371,41255,41423,41427,41397,41059,41283,41221,41270,41059,41510,41474,41460,41452,41294,41479,41447
41060,41060,41060,41079,41083,41060,41117,41131,41120,41060,41182,41196,41200,41187,41185,41128,41247,41188,41170,41261,41247,41262,41290,41292,41275,41384,41414,41264,41398,41372,41256,41424,41428,41398,41060,41284,41222,41271,41060,41511,41475,41461,41453,41295,41480,41448
41061,41061,41061,41080,41084,41061,41118,41132,41121,41061,41183,41197,41201,41188,41186,41129,41248,41189,41171,41262,41248,41263,41291,41293,41276,41385,41415,41265,41399,41373,41257,41425,41429,41399,41061,41285,41223,41272,41061,41512,41476,41462,41454,41296,41481,41449
41062,41062,41062,41081,41085,41062,41119,41133,41122,41062,41184,41198,41202,41189,41187,41130,41249,41190,41172,41263,41249,41264,41292,41294,41277,41386,41416,41266,41400,41374,41258,41426,41430,41400,41062,41286,41224,41273,41062,41513,41477,41463,41455,41297,41482,41450
41063,41063,41063,41082,41086,41063,41120,41134,41123,41063,41185,41199,41203,41190,41188,41131,41250,41191,41173,41264,41250,41265,41293,41295,41278,41387,41417,41267,41401,41375,41259,41427,41431,41401,41063,41287,41225,41274,41063,41514,41478,41464,41456,41298,41483,41451
41064,41064,41064,41083,41087,41064,41121,41135,41124,41064,41186,41200,41204,41191,41189,41132,41251,41192,41174,41265,41251,41266,41294,41296,41279,41388,41418,41268,41402,41376,41260,41428,41432,41402,41064,41288,41226,41275,41064,41515,41479,41465,41457,41299,41484,41452
41065,41065,41065,41084,41088,41065,41122,41136,41125,41065,41187,41201,41205,41192,41190,41133,41252,41193,41175,41266,41252,41267,41295,41297,41280,41389,41419,41269,41403,41377,41261,41429,41433,41403,41065,41289,41227,41276,41065,41516,41480,41466,41458,41300,41485,41453
41066,41066,41066,41085,41089,41066,41123,41137,41126,41066,41188,41202,41206,41193,41191,41134,41253,41194,41176,41267,41253,41268,41296,41298,41281,41390,41420,41270,41404,41378,41262,41430,41434,41404,41066,41290,41228,41277,41066,41517,41481,41467,41459,41301,41486,41454
41067,41067,41067,41086,41090,41067,41124,41138,41127,41067,41189,41203,41207,41194,41192,41135,41254,41195,41177,41268,41254,41269,41297,41299,41282,41391,41421,41271,41405,41379,41263,41431,41435,41405,41067,41291,41229,41278,41067,41518,41482,41468,41460,41302,41487,41455
41068,41068,41068,41087,41091,41068,41125,41139,41128,41068,41190,41204,41208,41195,41193,41136,41255,41196,41178,41269,41255,41270,41298,41300,41283,41392,41422,41272,41406,41380,41264,41432,41436,41406,41068,41292,41230,41279,41068,41519,41483,41469,41461,41303,41488,41456
41069,41069,41069,41088,41092,41069,41126,41140,41129,41069,41191,41205,41209,41196,41194,41137,41256,41197,41179,41270,41256,41271,41299,41301,41284,41393,41423,41273,41407,41381,41265,41433,41437,41407,41069,41293,41231,41280,41069,41520,41484,41470,41462,41304,41489,41457
41070,41070,41070,41089,41093,41070,41127,41141,41130,41070,41192,41206,41210,41197,41195,41138,41257,41198,41180,41271,41257,41272,41300,41302,41285,41394,41424,41274,41408,41382,41266,41434,41438,41408,41070,41294,41232,41281,41070,41521,41485,41471,41463,41305,41490,41458
41071,41071,41071,41090,41094,41071,41128,41142,41131,41071,41193,41207,41211,41198,41196,41139,41258,41199,41181,41272,41258,41273,41301,41303,41286,41395,41425,41275,41409,41383,41267,41435,41439,41409,41071,41295,41233,41282,41071,41522,41486,41472,41464,41306,41491,41459
41072,41072,41072,41091,41095,41072,41129,41143,41132,41072,41194,41208,41212,41199,41197,41140,41259,41200,41182,41273,41259,41274,41302,41304,41287,41396,41426,41276,41410,41384,41268,41436,41440,41410,41072,41296,41234,41283,41072,41523,41487,41473,41465,41307,41492,41460
41073,41073,41073,41092,41096,41073,41130,41144,41133,41073,41195,41209,41213,41200,41198,41141,41260,41201,41183,41274,41260,41275,41303,41305,41288,41397,41427,41277,41411,41385,41269,41437,41441,41411,41073,41297,41235,41284,41073,41524,41488,41474,41466,41308,41493,41461
41074,41074,41074,41093,41097,41074,41131,41145,41134,41074,41196,41210,41214,41201,41199,41142,41261,41202,41184,41275,41261,41276,41304,41306,41289,41398,41428,41278,41412,41386,41270,41438,41442,41412,41074,41298,41236,41285,41074,41525,41489,41475,41467,41309,41494,41462
41075,41075,41075,41094,41098,41075,41132,41146,41135,41075,41197,41211,41215,41202,41200,41143,41262,41203,41185,41276,41262,41277,41305,41307,41290,41399,41429,41279,41413,41387,41271,41439,41443,41413,41075,41299,41237,41286,41075,41526,41490,41476,41468,41310,41495,41463
