12002,12000,12000,12000,12000,12024,12000,12000,12039,12012,12049,12014,12004,12006,12000,12051,12004,12036,12080,12049,12040,12068,12000,12079,12031,12018,12000,12000,12000,12104,12003,12038,12008,12086,12046,12086,12087,12102,12016,12117,12096,12133,12128,12149,12096,12150,12130,12113,12134,12151,12121,12052,12141,12178,12106,12000,12000,12000,12000,12096,12000,12000,12000,12221,12171,12245,12223,12278,12281,12241,12260,12276,12176,12203,12280,12221,12257,12225,12270,12247,12173,12188,12223,12283,12295,12309,12245,12181,12321,12336,12275,12305,12304,12307,12326,12310,12139,12320,12243,12264,12306,12327,12299,12393,12365,12396,12330,12367,12371,12441,12226,12455,12448,12384,12349,12394,12418,12461,12460,12417,12416,12429,12458,12449,12460,12468,12386,12373,12373,12472,12467,12378,12418,12421,12483,12525,12542,12483,12526,12514,12250,12532,12555,12519,12200,12108,12494,12285
12003,12001,12001,12001,12001,12025,12001,12001,12040,12013,12050,12015,12005,12007,12001,12052,12005,12037,12081,12050,12041,12069,12001,12080,12032,12019,12001,12001,12001,12105,12004,12039,12009,12087,12047,12087,12088,12103,12017,12118,12097,12134,12129,12150,12097,12151,12131,12114,12135,12152,12122,12053,12142,12179,12107,12001,12001,12001,12001,12097,12001,12001,12001,12222,12172,12246,12224,12279,12282,12242,12261,12277,12177,12204,12281,12222,12258,12226,12271,12248,12174,12189,12224,12284,12296,12310,12246,12182,12322,12337,12276,12306,12305,12308,12327,12311,12140,12321,12244,12265,12307,12328,12300,12394,12366,12397,12331,12368,12372,12442,12227,12456,12449,12385,12350,12395,12419,12462,12461,12418,12417,12430,12459,12450,12461,12469,12387,12374,12374,12473,12468,12379,12419,12422,12484,12526,12543,12484,12527,12515,12251,12533,12556,12520,12201,12109,12495,12286
12004,12002,12002,12002,12002,12026,12002,12002,12041,12014,12051,12016,12006,12008,12002,12053,12006,12038,12082,12051,12042,12070,12002,12081,12033,12020,12002,12002,12002,12106,12005,12040,12010,12088,12048,12088,12089,12104,12018,12119,12098,12135,12130,12151,12098,12152,12132,12115,12136,12153,12123,12054,12143,12180,12108,12002,12002,12002,12002,12098,12002,12002,12002,12223,12173,12247,12225,12280,12283,12243,12262,12278,12178,12205,12282,12223,12259,12227,12272,12249,12175,12190,12225,12285,12297,12311,12247,12183,12323,12338,12277,12307,12306,12309,12328,12312,12141,12322,12245,12266,12308,12329,12301,12395,12367,12398,12332,12369,12373,12443,12228,12457,12450,12386,12351,12396,12420,12463,12462,12419,12418,12431,12460,12451,12462,12470,12388,12375,12375,12474,12469,12380,12420,12423,12485,12527,12544,12485,12528,12516,12252,12534,12557,12521,12202,12110,12496,12287
12005,12003,12003,12003,12003,12027,12003,12003,12042,12015,12052,12017,12007,12009,12003,12054,12007,12039,12083,12052,12043,12071,12003,12082,12034,12021,12003,12003,12003,12107,12006,12041,12011,12089,12049,12089,12090,12105,12019,12120,12099,12136,12131,12152,12099,12153,12133,12116,12137,12154,12124,12055,12144,12181,12109,12003,12003,12003,12003,12099,12003,12003,12003,12224,12174,12248,12226,12281,12284,12244,12263,12279,12179,12206,12283,12224,12260,12228,12273,12250,12176,12191,12226,12286,12298,12312,12248,12184,12324,12339,12278,12308,12307,12310,12329,12313,12142,12323,12246,12267,12309,12330,12302,12396,12368,12399,12333,12370,12374,12444,12229,12458,12451,12387,12352,12397,12421,12464,12463,12420,12419,12432,12461,12452,12463,12471,12389,12376,12376,12475,12470,12381,12421,12424,12486,12528,12545,12486,12529,12517,12253,12535,12558,12522,12203,12111,12497,12288
12006,12004,12004,12004,12004,12028,12004,12004,12043,12016,12053,12018,12008,12010,12004,12055,12008,12040,12084,12053,12044,12072,12004,12083,12035,12022,12004,12004,12004,12108,12007,12042,12012,12090,12050,12090,12091,12106,12020,12121,12100,12137,12132,12153,12100,12154,12134,12117,12138,12155,12125,12056,12145,12182,12110,12004,12004,12004,12004,12100,12004,12004,12004,12225,12175,12249,12227,12282,12285,12245,12264,12280,12180,12207,12284,12225,12261,12229,12274,12251,12177,12192,12227,12287,12299,12313,12249,12185,12325,12340,12279,12309,12308,12311,12330,12314,12143,12324,12247,12268,12310,12331,12303,12397,12369,12400,12334,12371,12375,12445,12230,12459,12452,12388,12353,12398,12422,12465,12464,12421,12420,12433,12462,12453,12464,12472,12390,12377,12377,12476,12471,12382,12422,12425,12487,12529,12546,12487,12530,12518,12254,12536,12559,12523,12204,12112,12498,12289
12007,12005,12005,12005,12005,12029,12005,12005,12044,12017,12054,12019,12009,12011,12005,12056,12009,12041,12085,12054,12045,12073,12005,12084,12036,12023,12005,12005,12005,12109,12008,12043,12013,12091,12051,12091,12092,12107,12021,12122,12101,12138,12133,12154,12101,12155,12135,12118,12139,12156,12126,12057,12146,12183,12111,12005,12005,12005,12005,12101,12005,12005,12005,12226,12176,12250,12228,12283,12286,12246,12265,12281,12181,12208,12285,12226,12262,12230,12275,12252,12178,12193,12228,12288,12300,12314,12250,12186,12326,12341,12280,12310,12309,12312,12331,12315,12144,12325,12248,12269,12311,12332,12304,12398,12370,12401,12335,12372,12376,12446,12231,12460,12453,12389,12354,12399,12423,12466,12465,12422,12421,12434,12463,12454,12465,12473,12391,12378,12378,12477,12472,12383,12423,12426,12488,12530,12547,12488,12531,12519,12255,12537,12560,12524,12205,12113,12499,12290
12008,12006,12006,12006,12006,12030,12006,12006,12045,12018,12055,12020,12010,12012,12006,12057,12010,12042,12086,12055,12046,12074,12006,12085,12037,12024,12006,12006,12006,12110,12009,12044,12014,12092,12052,12092,12093,12108,12022,12123,12102,12139,12134,12155,12102,12156,12136,12119,12140,12157,12127,12058,12147,12184,12112,12006,12006,12006,12006,12102,12006,12006,12006,12227,12177,12251,12229,12284,12287,12247,12266,12282,12182,12209,12286,12227,12263,12231,12276,12253,12179,12194,12229,12289,12301,12315,12251,12187,12327,12342,12281,12311,12310,12313,12332,12316,12145,12326,12249,12270,12312,12333,12305,12399,12371,12402,12336,12373,12377,12447,12232,12461,12454,12390,12355,12400,12424,12467,12466,12423,12422,12435,12464,12455,12466,12474,12392,12379,12379,12478,12473,12384,12424,12427,12489,12531,12548,12489,12532,12520,12256,12538,12561,12525,12206,12114,12500,12291
12009,12007,12007,12007,12007,12031,12007,12007,12046,12019,12056,12021,12011,12013,12007,12058,12011,12043,12087,12056,12047,12075,12007,12086,12038,12025,12007,12007,12007,12111,12010,12045,12015,12093,12053,12093,12094,12109,12023,12124,12103,12140,12135,12156,12103,12157,12137,12120,12141,12158,12128,12059,12148,12185,12113,12007,12007,12007,12007,12103,12007,12007,12007,12228,12178,12252,12230,12285,12288,12248,12267,12283,12183,12210,12287,12228,12264,12232,12277,12254,12180,12195,12230,12290,12302,12316,12252,12188,12328,12343,12282,12312,12311,12314,12333,12317,12146,12327,12250,12271,12313,12334,12306,12400,12372,12403,12337,12374,12378,12448,12233,12462,12455,12391,12356,12401,12425,12468,12467,12424,12423,12436,12465,12456,12467,12475,12393,12380,12380,12479,12474,12385,12425,12428,12490,12532,12549,12490,12533,12521,12257,12539,12562,12526,12207,12115,12501,12292
12010,12008,12008,12008,12008,12032,12008,12008,12047,12020,12057,12022,12012,12014,12008,12059,12012,12044,12088,12057,12048,12076,12008,12087,12039,12026,12008,12008,12008,12112,12011,12046,12016,12094,12054,12094,12095,12110,12024,12125,12104,12141,12136,12157,12104,12158,12138,12121,12142,12159,12129,12060,12149,12186,12114,12008,12008,12008,12008,12104,12008,12008,12008,12229,12179,12253,12231,12286,12289,12249,12268,12284,12184,12211,12288,12229,12265,12233,12278,12255,12181,12196,12231,12291,12303,12317,12253,12189,12329,12344,12283,12313,12312,12315,12334,12318,12147,12328,12251,12272,12314,12335,12307,12401,12373,12404,12338,12375,12379,12449,12234,12463,12456,12392,12357,12402,12426,12469,12468,12425,12424,12437,12466,12457,12468,12476,12394,12381,12381,12480,12475,12386,12426,12429,12491,12533,12550,12491,12534,12522,12258,12540,12563,12527,12208,12116,12502,12293
12011,12009,12009,12009,12009,12033,12009,12009,12048,12021,12058,12023,12013,12015,12009,12060,12013,12045,12089,12058,12049,12077,12009,12088,12040,12027,12009,12009,12009,12113,12012,12047,12017,12095,12055,12095,12096,12111,12025,12126,12105,12142,12137,12158,12105,12159,12139,12122,12143,12160,12130,12061,12150,12187,12115,12009,12009,12009,12009,12105,12009,12009,12009,12230,12180,12254,12232,12287,12290,12250,12269,12285,12185,12212,12289,12230,12266,12234,12279,12256,12182,12197,12232,12292,12304,12318,12254,12190,12330,12345,12284,12314,12313,12316,12335,12319,12148,12329,12252,12273,12315,12336,12308,12402,12374,12405,12339,12376,12380,12450,12235,12464,12457,12393,12358,12403,12427,12470,12469,12426,12425,12438,12467,12458,12469,12477,12395,12382,12382,12481,12476,12387,12427,12430,12492,12534,12551,12492,12535,12523,12259,12541,12564,12528,12209,12117,12503,12294
