38602,38600,38602,38600,38600,38605,38600,38600,38620,38619,38600,38602,38600,38613,38725,38704,38721,38600,38600,38690,38821,38748,38855,38778,38758,38773,38718,38821,38760,38801,38809,38927,38895,38890,38819,38622,38600,38664,38600,38641,38626,38631,38958,38661,38639,38925,38921,38829,38950,38776,38765,38842,38934,38675,38728,38731,38830,38761,38827,38964,38828,38820,38869,38715,38628
38603,38601,38603,38601,38601,38606,38601,38601,38621,38620,38601,38603,38601,38614,38726,38705,38722,38601,38601,38691,38822,38749,38856,38779,38759,38774,38719,38822,38761,38802,38810,38928,38896,38891,38820,38623,38601,38665,38601,38642,38627,38632,38959,38662,38640,38926,38922,38830,38951,38777,38766,38843,38935,38676,38729,38732,38831,38762,38828,38965,38829,38821,38870,38716,38629
38604,38602,38604,38602,38602,38607,38602,38602,38622,38621,38602,38604,38602,38615,38727,38706,38723,38602,38602,38692,38823,38750,38857,38780,38760,38775,38720,38823,38762,38803,38811,38929,38897,38892,38821,38624,38602,38666,38602,38643,38628,38633,38960,38663,38641,38927,38923,38831,38952,38778,38767,38844,38936,38677,38730,38733,38832,38763,38829,38966,38830,38822,38871,38717,38630
38605,38603,38605,38603,38603,38608,38603,38603,38623,38622,38603,38605,38603,38616,38728,38707,38724,38603,38603,38693,38824,38751,38858,38781,38761,38776,38721,38824,38763,38804,38812,38930,38898,38893,38822,38625,38603,38667,38603,38644,38629,38634,38961,38664,38642,38928,38924,38832,38953,38779,38768,38845,38937,38678,38731,38734,38833,38764,38830,38967,38831,38823,38872,38718,38631
38606,38604,38606,38604,38604,38609,38604,38604,38624,38623,38604,38606,38604,38617,38729,38708,38725,38604,38604,38694,38825,38752,38859,38782,38762,38777,38722,38825,38764,38805,38813,38931,38899,38894,38823,38626,38604,38668,38604,38645,38630,38635,38962,38665,38643,38929,38925,38833,38954,38780,38769,38846,38938,38679,38732,38735,38834,38765,38831,38968,38832,38824,38873,38719,38632
38607,38605,38607,38605,38605,38610,38605,38605,38625,38624,38605,38607,38605,38618,38730,38709,38726,38605,38605,38695,38826,38753,38860,38783,38763,38778,38723,38826,38765,38806,38814,38932,38900,38895,38824,38627,38605,38669,38605,38646,38631,38636,38963,38666,38644,38930,38926,38834,38955,38781,38770,38847,38939,38680,38733,38736,38835,38766,38832,38969,38833,38825,38874,38720,38633
38608,38606,38608,38606,38606,38611,38606,38606,38626,38625,38606,38608,38606,38619,38731,38710,38727,38606,38606,38696,38827,38754,38861,38784,38764,38779,38724,38827,38766,38807,38815,38933,38901,38896,38825,38628,38606,38670,38606,38647,38632,38637,38964,38667,38645,38931,38927,38835,38956,38782,38771,38848,38940,38681,38734,38737,38836,38767,38833,38970,38834,38826,38875,38721,38634
38609,38607,38609,38607,38607,38612,38607,38607,38627,38626,38607,38609,38607,38620,38732,38711,38728,38607,38607,38697,38828,38755,38862,38785,38765,38780,38725,38828,38767,38808,38816,38934,38902,38897,38826,38629,38607,38671,38607,38648,38633,38638,38965,38668,38646,38932,38928,38836,38957,38783,38772,38849,38941,38682,38735,38738,38837,38768,38834,38971,38835,38827,38876,38722,38635
38610,38608,38610,38608,38608,38613,38608,38608,38628,38627,38608,38610,38608,38621,38733,38712,38729,38608,38608,38698,38829,38756,38863,38786,38766,38781,38726,38829,38768,38809,38817,38935,38903,38898,38827,38630,38608,38672,38608,38649,38634,38639,38966,38669,38647,38933,38929,38837,38958,38784,38773,38850,38942,38683,38736,38739,38838,38769,38835,38972,38836,38828,38877,38723,38636
38611,38609,38611,38609,38609,38614,38609,38609,38629,38628,38609,38611,38609,38622,38734,38713,38730,38609,38609,38699,38830,38757,38864,38787,38767,38782,38727,38830,38769,38810,38818,38936,38904,38899,38828,38631,38609,38673,38609,38650,38635,38640,38967,38670,38648,38934,38930,38838,38959,38785,38774,38851,38943,38684,38737,38740,38839,38770,38836,38973,38837,38829,38878,38724,38637
