45079,45075,45075,45075,45075,45075,45108,45099,45082,45090,45111,45108,45132,45081,45075,45075,45075,45075,45075,45081,45133,45122,45150,45197,45075,45075,45145,45093,45171,45143,45125,45096,45128,45110,45130,45149,45104,45198,45206,45086,45142,45236,45239,45222,45323,45075,45149,45169,45165,45182,45278,45113,45193,45124,45084,45247,45169,45075,45225,45075,45080,45075
45080,45076,45076,45076,45076,45076,45109,45100,45083,45091,45112,45109,45133,45082,45076,45076,45076,45076,45076,45082,45134,45123,45151,45198,45076,45076,45146,45094,45172,45144,45126,45097,45129,45111,45131,45150,45105,45199,45207,45087,45143,45237,45240,45223,45324,45076,45150,45170,45166,45183,45279,45114,45194,45125,45085,45248,45170,45076,45226,45076,45081,45076
45081,45077,45077,45077,45077,45077,45110,45101,45084,45092,45113,45110,45134,45083,45077,45077,45077,45077,45077,45083,45135,45124,45152,45199,45077,45077,45147,45095,45173,45145,45127,45098,45130,45112,45132,45151,45106,45200,45208,45088,45144,45238,45241,45224,45325,45077,45151,45171,45167,45184,45280,45115,45195,45126,45086,45249,45171,45077,45227,45077,45082,45077
45082,45078,45078,45078,45078,45078,45111,45102,45085,45093,45114,45111,45135,45084,45078,45078,45078,45078,45078,45084,45136,45125,45153,45200,45078,45078,45148,45096,45174,45146,45128,45099,45131,45113,45133,45152,45107,45201,45209,45089,45145,45239,45242,45225,45326,45078,45152,45172,45168,45185,45281,45116,45196,45127,45087,45250,45172,45078,45228,45078,45083,45078
45083,45079,45079,45079,45079,45079,45112,45103,45086,45094,45115,45112,45136,45085,45079,45079,45079,45079,45079,45085,45137,45126,45154,45201,45079,45079,45149,45097,45175,45147,45129,45100,45132,45114,45134,45153,45108,45202,45210,45090,45146,45240,45243,45226,45327,45079,45153,45173,45169,45186,45282,45117,45197,45128,45088,45251,45173,45079,45229,45079,45084,45079
45084,45080,45080,45080,45080,45080,45113,45104,45087,45095,45116,45113,45137,45086,45080,45080,45080,45080,45080,45086,45138,45127,45155,45202,45080,45080,45150,45098,45176,45148,45130,45101,45133,45115,45135,45154,45109,45203,45211,45091,45147,45241,45244,45227,45328,45080,45154,45174,45170,45187,45283,45118,45198,45129,45089,45252,45174,45080,45230,45080,45085,45080
45085,45081,45081,45081,45081,45081,45114,45105,45088,45096,45117,45114,45138,45087,45081,45081,45081,45081,45081,45087,45139,45128,45156,45203,45081,45081,45151,45099,45177,45149,45131,45102,45134,45116,45136,45155,45110,45204,45212,45092,45148,45242,45245,45228,45329,45081,45155,45175,45171,45188,45284,45119,45199,45130,45090,45253,45175,45081,45231,45081,45086,45081
45086,45082,45082,45082,45082,45082,45115,45106,45089,45097,45118,45115,45139,45088,45082,45082,45082,45082,45082,45088,45140,45129,45157,45204,45082,45082,45152,45100,45178,45150,45132,45103,45135,45117,45137,45156,45111,45205,45213,45093,45149,45243,45246,45229,45330,45082,45156,45176,45172,45189,45285,45120,45200,45131,45091,45254,45176,45082,45232,45082,45087,45082
45087,45083,45083,45083,45083,45083,45116,45107,45090,45098,45119,45116,45140,45089,45083,45083,45083,45083,45083,45089,45141,45130,45158,45205,45083,45083,45153,45101,45179,45151,45133,45104,45136,45118,45138,45157,45112,45206,45214,45094,45150,45244,45247,45230,45331,45083,45157,45177,45173,45190,45286,45121,45201,45132,45092,45255,45177,45083,45233,45083,45088,45083
45088,45084,45084,45084,45084,45084,45117,45108,45091,45099,45120,45117,45141,45090,45084,45084,45084,45084,45084,45090,45142,45131,45159,45206,45084,45084,45154,45102,45180,45152,45134,45105,45137,45119,45139,45158,45113,45207,45215,45095,45151,45245,45248,45231,45332,45084,45158,45178,45174,45191,45287,45122,45202,45133,45093,45256,45178,45084,45234,45084,45089,45084
