63650,63677,63671,63670,63684,63688,63699,63659,63650,63707,63682,63709,63698,63748,63759,63748,63682,63774,63793,63760,63750,63781,63732,63704,63797,63836,63834,63881,63905,63906,63904,64018,64039,64019,63749,64078,64082,63754,63746,64110,64122,64130,64147,64149,64160,64159,64159,64166,64071,64072,64135,64179,64103,64164,64173,64194,64181,64170,64183,64196,64169,64207,64179,64196,64210,63702,64212,63862,63896,64219,64164,63914
63651,63678,63672,63671,63685,63689,63700,63660,63651,63708,63683,63710,63699,63749,63760,63749,63683,63775,63794,63761,63751,63782,63733,63705,63798,63837,63835,63882,63906,63907,63905,64019,64040,64020,63750,64079,64083,63755,63747,64111,64123,64131,64148,64150,64161,64160,64160,64167,64072,64073,64136,64180,64104,64165,64174,64195,64182,64171,64184,64197,64170,64208,64180,64197,64211,63703,64213,63863,63897,64220,64165,63915
63652,63679,63673,63672,63686,63690,63701,63661,63652,63709,63684,63711,63700,63750,63761,63750,63684,63776,63795,63762,63752,63783,63734,63706,63799,63838,63836,63883,63907,63908,63906,64020,64041,64021,63751,64080,64084,63756,63748,64112,64124,64132,64149,64151,64162,64161,64161,64168,64073,64074,64137,64181,64105,64166,64175,64196,64183,64172,64185,64198,64171,64209,64181,64198,64212,63704,64214,63864,63898,64221,64166,63916
63653,63680,63674,63673,63687,63691,63702,63662,63653,63710,63685,63712,63701,63751,63762,63751,63685,63777,63796,63763,63753,63784,63735,63707,63800,63839,63837,63884,63908,63909,63907,64021,64042,64022,63752,64081,64085,63757,63749,64113,64125,64133,64150,64152,64163,64162,64162,64169,64074,64075,64138,64182,64106,64167,64176,64197,64184,64173,64186,64199,64172,64210,64182,64199,64213,63705,64215,63865,63899,64222,64167,63917
63654,63681,63675,63674,63688,63692,63703,63663,63654,63711,63686,63713,63702,63752,63763,63752,63686,63778,63797,63764,63754,63785,63736,63708,63801,63840,63838,63885,63909,63910,63908,64022,64043,64023,63753,64082,64086,63758,63750,64114,64126,64134,64151,64153,64164,64163,64163,64170,64075,64076,64139,64183,64107,64168,64177,64198,64185,64174,64187,64200,64173,64211,64183,64200,64214,63706,64216,63866,63900,64223,64168,63918
63655,63682,63676,63675,63689,63693,63704,63664,63655,63712,63687,63714,63703,63753,63764,63753,63687,63779,63798,63765,63755,63786,63737,63709,63802,63841,63839,63886,63910,63911,63909,64023,64044,64024,63754,64083,64087,63759,63751,64115,64127,64135,64152,64154,64165,64164,64164,64171,64076,64077,64140,64184,64108,64169,64178,64199,64186,64175,64188,64201,64174,64212,64184,64201,64215,63707,64217,63867,63901,64224,64169,63919
63656,63683,63677,63676,63690,63694,63705,63665,63656,63713,63688,63715,63704,63754,63765,63754,63688,63780,63799,63766,63756,63787,63738,63710,63803,63842,63840,63887,63911,63912,63910,64024,64045,64025,63755,64084,64088,63760,63752,64116,64128,64136,64153,64155,64166,64165,64165,64172,64077,64078,64141,64185,64109,64170,64179,64200,64187,64176,64189,64202,64175,64213,64185,64202,64216,63708,64218,63868,63902,64225,64170,63920
63657,63684,63678,63677,63691,63695,63706,63666,63657,63714,63689,63716,63705,63755,63766,63755,63689,63781,63800,63767,63757,63788,63739,63711,63804,63843,63841,63888,63912,63913,63911,64025,64046,64026,63756,64085,64089,63761,63753,64117,64129,64137,64154,64156,64167,64166,64166,64173,64078,64079,64142,64186,64110,64171,64180,64201,64188,64177,64190,64203,64176,64214,64186,64203,64217,63709,64219,63869,63903,64226,64171,63921
63658,63685,63679,63678,63692,63696,63707,63667,63658,63715,63690,63717,63706,63756,63767,63756,63690,63782,63801,63768,63758,63789,63740,63712,63805,63844,63842,63889,63913,63914,63912,64026,64047,64027,63757,64086,64090,63762,63754,64118,64130,64138,64155,64157,64168,64167,64167,64174,64079,64080,64143,64187,64111,64172,64181,64202,64189,64178,64191,64204,64177,64215,64187,64204,64218,63710,64220,63870,63904,64227,64172,63922
63659,63686,63680,63679,63693,63697,63708,63668,63659,63716,63691,63718,63707,63757,63768,63757,63691,63783,63802,63769,63759,63790,63741,63713,63806,63845,63843,63890,63914,63915,63913,64027,64048,64028,63758,64087,64091,63763,63755,64119,64131,64139,64156,64158,64169,64168,64168,64175,64080,64081,64144,64188,64112,64173,64182,64203,64190,64179,64192,64205,64178,64216,64188,64205,64219,63711,64221,63871,63905,64228,64173,63923
