100618,100600,100600,100602,100630,100617,100606,100649,100646,100602,100653,100665,100664,100631,100692,100600,100674,100686,100697,100685,100684,100715,100658,100724,100665,100666,100600,100739,100727,100741,100784,100758,100611,100792,100832,100808,100824,100648,100725,100717,100687,100600,100922,100877,100935,100960,100985,101022,101041,101051,101064,101021,101085,101052,101069,101133,101136,101006,101006,101112,101161,101162,101103,101139,100797,100778,100781
100619,100601,100601,100603,100631,100618,100607,100650,100647,100603,100654,100666,100665,100632,100693,100601,100675,100687,100698,100686,100685,100716,100659,100725,100666,100667,100601,100740,100728,100742,100785,100759,100612,100793,100833,100809,100825,100649,100726,100718,100688,100601,100923,100878,100936,100961,100986,101023,101042,101052,101065,101022,101086,101053,101070,101134,101137,101007,101007,101113,101162,101163,101104,101140,100798,100779,100782
100620,100602,100602,100604,100632,100619,100608,100651,100648,100604,100655,100667,100666,100633,100694,100602,100676,100688,100699,100687,100686,100717,100660,100726,100667,100668,100602,100741,100729,100743,100786,100760,100613,100794,100834,100810,100826,100650,100727,100719,100689,100602,100924,100879,100937,100962,100987,101024,101043,101053,101066,101023,101087,101054,101071,101135,101138,101008,101008,101114,101163,101164,101105,101141,100799,100780,100783
100621,100603,100603,100605,100633,100620,100609,100652,100649,100605,100656,100668,100667,100634,100695,100603,100677,100689,100700,100688,100687,100718,100661,100727,100668,100669,100603,100742,100730,100744,100787,100761,100614,100795,100835,100811,100827,100651,100728,100720,100690,100603,100925,100880,100938,100963,100988,101025,101044,101054,101067,101024,101088,101055,101072,101136,101139,101009,101009,101115,101164,101165,101106,101142,100800,100781,100784
100622,100604,100604,100606,100634,100621,100610,100653,100650,100606,100657,100669,100668,100635,100696,100604,100678,100690,100701,100689,100688,100719,100662,100728,100669,100670,100604,100743,100731,100745,100788,100762,100615,100796,100836,100812,100828,100652,100729,100721,100691,100604,100926,100881,100939,100964,100989,101026,101045,101055,101068,101025,101089,101056,101073,101137,101140,101010,101010,101116,101165,101166,101107,101143,100801,100782,100785
100623,100605,100605,100607,100635,100622,100611,100654,100651,100607,100658,100670,100669,100636,100697,100605,100679,100691,100702,100690,100689,100720,100663,100729,100670,100671,100605,100744,100732,100746,100789,100763,100616,100797,100837,100813,100829,100653,100730,100722,100692,100605,100927,100882,100940,100965,100990,101027,101046,101056,101069,101026,101090,101057,101074,101138,101141,101011,101011,101117,101166,101167,101108,101144,100802,100783,100786
100624,100606,100606,100608,100636,100623,100612,100655,100652,100608,100659,100671,100670,100637,100698,100606,100680,100692,100703,100691,100690,100721,100664,100730,100671,100672,100606,100745,100733,100747,100790,100764,100617,100798,100838,100814,100830,100654,100731,100723,100693,100606,100928,100883,100941,100966,100991,101028,101047,101057,101070,101027,101091,101058,101075,101139,101142,101012,101012,101118,101167,101168,101109,101145,100803,100784,100787
100625,100607,100607,100609,100637,100624,100613,100656,100653,100609,100660,100672,100671,100638,100699,100607,100681,100693,100704,100692,100691,100722,100665,100731,100672,100673,100607,100746,100734,100748,100791,100765,100618,100799,100839,100815,100831,100655,100732,100724,100694,100607,100929,100884,100942,100967,100992,101029,101048,101058,101071,101028,101092,101059,101076,101140,101143,101013,101013,101119,101168,101169,101110,101146,100804,100785,100788
100626,100608,100608,100610,100638,100625,100614,100657,100654,100610,100661,100673,100672,100639,100700,100608,100682,100694,100705,100693,100692,100723,100666,100732,100673,100674,100608,100747,100735,100749,100792,100766,100619,100800,100840,100816,100832,100656,100733,100725,100695,100608,100930,100885,100943,100968,100993,101030,101049,101059,101072,101029,101093,101060,101077,101141,101144,101014,101014,101120,101169,101170,101111,101147,100805,100786,100789
100627,100609,100609,100611,100639,100626,100615,100658,100655,100611,100662,100674,100673,100640,100701,100609,100683,100695,100706,100694,100693,100724,100667,100733,100674,100675,100609,100748,100736,100750,100793,100767,100620,100801,100841,100817,100833,100657,100734,100726,100696,100609,100931,100886,100944,100969,100994,101031,101050,101060,101073,101030,101094,101061,101078,101142,101145,101015,101015,101121,101170,101171,101112,101148,100806,100787,100790
100628,100610,100610,100612,100640,100627,100616,100659,100656,100612,100663,100675,100674,100641,100702,100610,100684,100696,100707,100695,100694,100725,100668,100734,100675,100676,100610,100749,100737,100751,100794,100768,100621,100802,100842,100818,100834,100658,100735,100727,100697,100610,100932,100887,100945,100970,100995,101032,101051,101061,101074,101031,101095,101062,101079,101143,101146,101016,101016,101122,101171,101172,101113,101149,100807,100788,100791
100629,100611,100611,100613,100641,100628,100617,100660,100657,100613,100664,100676,100675,100642,100703,100611,100685,100697,100708,100696,100695,100726,100669,100735,100676,100677,100611,100750,100738,100752,100795,100769,100622,100803,100843,100819,100835,100659,100736,100728,100698,100611,100933,100888,100946,100971,100996,101033,101052,101062,101075,101032,101096,101063,101080,101144,101147,101017,101017,101123,101172,101173,101114,101150,100808,100789,100792
100630,100612,100612,100614,100642,100629,100618,100661,100658,100614,100665,100677,100676,100643,100704,100612,100686,100698,100709,100697,100696,100727,100670,100736,100677,100678,100612,100751,100739,100753,100796,100770,100623,100804,100844,100820,100836,100660,100737,100729,100699,100612,100934,100889,100947,100972,100997,101034,101053,101063,101076,101033,101097,101064,101081,101145,101148,101018,101018,101124,101173,101174,101115,101151,100809,100790,100793
100631,100613,100613,100615,100643,100630,100619,100662,100659,100615,100666,100678,100677,100644,100705,100613,100687,100699,100710,100698,100697,100728,100671,100737,100678,100679,100613,100752,100740,100754,100797,100771,100624,100805,100845,100821,100837,100661,100738,100730,100700,100613,100935,100890,100948,100973,100998,101035,101054,101064,101077,101034,101098,101065,101082,101146,101149,101019,101019,101125,101174,101175,101116,101152,100810,100791,100794
100632,100614,100614,100616,100644,100631,100620,100663,100660,100616,100667,100679,100678,100645,100706,100614,100688,100700,100711,100699,100698,100729,100672,100738,100679,100680,100614,100753,100741,100755,100798,100772,100625,100806,100846,100822,100838,100662,100739,100731,100701,100614,100936,100891,100949,100974,100999,101036,101055,101065,101078,101035,101099,101066,101083,101147,101150,101020,101020,101126,101175,101176,101117,101153,100811,100792,100795
100633,100615,100615,100617,100645,100632,100621,100664,100661,100617,100668,100680,100679,100646,100707,100615,100689,100701,100712,100700,100699,100730,100673,100739,100680,100681,100615,100754,100742,100756,100799,100773,100626,100807,100847,100823,100839,100663,100740,100732,100702,100615,100937,100892,100950,100975,101000,101037,101056,101066,101079,101036,101100,101067,101084,101148,101151,101021,101021,101127,101176,101177,101118,101154,100812,100793,100796
100634,100616,100616,100618,100646,100633,100622,100665,100662,100618,100669,100681,100680,100647,100708,100616,100690,100702,100713,100701,100700,100731,100674,100740,100681,100682,100616,100755,100743,100757,100800,100774,100627,100808,100848,100824,100840,100664,100741,100733,100703,100616,100938,100893,100951,100976,101001,101038,101057,101067,101080,101037,101101,101068,101085,101149,101152,101022,101022,101128,101177,101178,101119,101155,100813,100794,100797
100635,100617,100617,100619,100647,100634,100623,100666,100663,100619,100670,100682,100681,100648,100709,100617,100691,100703,100714,100702,100701,100732,100675,100741,100682,100683,100617,100756,100744,100758,100801,100775,100628,100809,100849,100825,100841,100665,100742,100734,100704,100617,100939,100894,100952,100977,101002,101039,101058,101068,101081,101038,101102,101069,101086,101150,101153,101023,101023,101129,101178,101179,101120,101156,100814,100795,100798
100636,100618,100618,100620,100648,100635,100624,100667,100664,100620,100671,100683,100682,100649,100710,100618,100692,100704,100715,100703,100702,100733,100676,100742,100683,100684,100618,100757,100745,100759,100802,100776,100629,100810,100850,100826,100842,100666,100743,100735,100705,100618,100940,100895,100953,100978,101003,101040,101059,101069,101082,101039,101103,101070,101087,101151,101154,101024,101024,101130,101179,101180,101121,101157,100815,100796,100799
100637,100619,100619,100621,100649,100636,100625,100668,100665,100621,100672,100684,100683,100650,100711,100619,100693,100705,100716,100704,100703,100734,100677,100743,100684,100685,100619,100758,100746,100760,100803,100777,100630,100811,100851,100827,100843,100667,100744,100736,100706,100619,100941,100896,100954,100979,101004,101041,101060,101070,101083,101040,101104,101071,101088,101152,101155,101025,101025,101131,101180,101181,101122,101158,100816,100797,100800
100638,100620,100620,100622,100650,100637,100626,100669,100666,100622,100673,100685,100684,100651,100712,100620,100694,100706,100717,100705,100704,100735,100678,100744,100685,100686,100620,100759,100747,100761,100804,100778,100631,100812,100852,100828,100844,100668,100745,100737,100707,100620,100942,100897,100955,100980,101005,101042,101061,101071,101084,101041,101105,101072,101089,101153,101156,101026,101026,101132,101181,101182,101123,101159,100817,100798,100801
100639,100621,100621,100623,100651,100638,100627,100670,100667,100623,100674,100686,100685,100652,100713,100621,100695,100707,100718,100706,100705,100736,100679,100745,100686,100687,100621,100760,100748,100762,100805,100779,100632,100813,100853,100829,100845,100669,100746,100738,100708,100621,100943,100898,100956,100981,101006,101043,101062,101072,101085,101042,101106,101073,101090,101154,101157,101027,101027,101133,101182,101183,101124,101160,100818,100799,100802
100640,100622,100622,100624,100652,100639,100628,100671,100668,100624,100675,100687,100686,100653,100714,100622,100696,100708,100719,100707,100706,100737,100680,100746,100687,100688,100622,100761,100749,100763,100806,100780,100633,100814,100854,100830,100846,100670,100747,100739,100709,100622,100944,100899,100957,100982,101007,101044,101063,101073,101086,101043,101107,101074,101091,101155,101158,101028,101028,101134,101183,101184,101125,101161,100819,100800,100803
