-0.02182,0.00039,-0.0006714,-0.0222,-0.0207,0.003662,-0.0001488,0.01043,0.0731,0.01614,-0.03063,-0.0419,-0.02447,-0.003136,-0.002422,0.008625,-0.02369,-0.02004,-0.02708,-0.01353,0.0101,-0.03657,0.01462,-0.01869,-0.01544,-0.009838,-0.003063,-0.0004196,-0.03255,-0.03271,-0.0008965,-0.005699,-0.01658,-0.008766,-0.01072,-0.04924,-0.03611,-0.02462,-0.03836,-0.01018,1.144e-005,-0.02317,-0.01809,-0.0003624,-0.01819,-0.004147,-0.003464,-0.01078,-0.006506,-0.003114,-0.04235,-0.03107,-0.0003281,0.003513,3.433e-005,-0.03322,-0.00985,1.526e-005,-0.000988,0.01174,0.005882,-0.01175,0.02361,0.007957,-0.002476
-0.02182,0.00039,-0.0006714,-0.0222,-0.0207,0.003662,-0.0001488,0.01043,0.214,0.01614,-0.03063,-0.0419,-0.02447,-0.003136,-0.002422,0.008625,-0.02369,-0.02004,-0.02708,-0.01353,0.01155,-0.03657,0.01462,-0.01869,-0.01544,-0.009838,-0.003063,-0.0004196,-0.03255,-0.03271,-0.0008965,-0.005699,-0.01658,-0.008766,-0.01072,-0.04924,-0.03611,-0.02462,-0.03836,-0.01472,1.144e-005,-0.02713,-0.02005,-0.0003624,-0.01819,-0.004147,-0.003464,-0.01078,-0.006506,-0.003114,-0.03943,-0.03107,-0.0003281,0.003513,-0.0001812,-0.03322,-0.01503,1.526e-005,-0.000988,0.008592,0.005882,-0.01175,0.02361,0.01348,-0.002476
-0.02406,-0.0003251,0.005644,-0.02465,-0.02101,-0.0005417,-0.000452,0.01003,0.2661,0.01573,-0.03605,-0.04631,-0.02769,-0.0008259,-0.001925,0.007195,-0.01718,-0.02083,-0.02438,-0.009499,0.01339,-0.03224,0.01441,-0.01706,-0.01488,-0.00325,-0.0149,-4.768e-005,-0.03803,-0.03181,-0.004519,-0.002789,-0.01662,-0.008953,-0.01096,-0.04824,-0.03653,-0.01629,-0.03794,-0.01354,0.0001202,-0.03939,-0.02087,-0.007039,-0.01886,-0.003132,-0.004347,-0.008888,-0.007031,-0.005994,-0.03733,-0.0303,0.002848,-0.001314,-0.0002708,-0.03731,-0.01888,7.057e-005,-0.01657,0.007298,0.004955,-0.01681,0.0289,-0.00839,-0.001139
-0.02476,0.000771,0.007523,-0.03049,-0.01776,-0.0003242,0.0009008,0.01089,0.1454,-0.05185,-0.03122,-0.04547,-0.03225,-0.0008774,-0.001165,0.006074,-0.01628,-0.01962,-0.02294,-0.007729,0.01449,-0.03344,0.01286,-0.01894,-0.01498,-0.009228,-0.01733,-0.0005836,-0.038,-0.03088,-0.006073,-0.004876,-0.01242,-0.01139,-0.00905,-0.05071,-0.03761,-0.01545,-0.03551,-0.01306,-0.0001717,-0.04138,-0.02093,-0.008992,-0.01857,-0.002936,-0.002781,-0.008798,-0.008581,-0.009442,-0.03509,-0.03043,0.009012,2.035e-005,0.002031,-0.03843,-0.02986,0.002008,-0.01888,0.005514,0.008817,-0.0241,0.02376,-0.0144,0.001113
-0.02713,0.003304,0.00902,-0.03228,-0.01512,-0.0001841,0.0002974,0.01688,0.1007,-0.05983,-0.03045,-0.02428,-0.03255,-0.0001755,0.0007229,0.01322,-0.01853,-0.01969,-0.02427,-0.006165,0.01427,-0.03448,0.01552,-0.01991,-0.0158,-0.01732,-0.01572,-0.000576,-0.04066,-0.03139,-0.004775,-0.005516,-0.01017,-0.01216,-0.007058,-0.05031,-0.0368,-0.01624,-0.03575,-0.01257,-3.242e-005,-0.04156,-0.02141,-0.01184,-0.01831,-0.004186,-0.00327,-0.009676,-0.01273,-0.01014,-0.03356,-0.02983,0.01392,7.248e-005,-8.93e-005,-0.04487,-0.03421,6.771e-005,-0.02173,0.007832,0.01348,-0.02532,0.02668,-0.01176,0.0008478
-0.02941,0.003288,0.006185,-0.03154,-0.01497,0.0004162,-0.003552,0.01737,0.08111,-0.06138,-0.03,-0.02411,-0.03119,-0.0004478,-0.001419,0.01461,-0.01809,-0.01965,-0.02627,-0.01921,0.01619,-0.03474,0.01555,-0.02031,-0.0169,-0.01692,-0.01489,-0.0008156,-0.04025,-0.02863,-0.005746,-0.006271,-0.009248,-0.01366,-0.007082,-0.04286,-0.03757,-0.01808,-0.03658,-0.012,-0.001893,-0.03976,-0.02164,-0.01448,-0.01932,-0.002474,-0.005001,-0.009374,-0.01356,-0.01259,-0.0331,-0.03069,0.01773,-1.373e-005,-0.00025,-0.03409,-0.03268,0.0001755,-0.02434,0.006623,0.01518,-0.02844,0.02829,-0.0152,0.001349
-0.03181,0.003897,0.006309,-0.03283,-0.01464,0.0002404,-0.00866,0.01326,0.04238,-0.06024,-0.03102,-0.02488,-0.03268,0.0007851,-0.001632,0.01442,-0.01764,-0.02049,-0.02829,-0.02289,0.01723,-0.03406,0.01581,-0.02112,-0.01846,-0.0169,-0.01456,-0.001903,-0.03342,-0.02602,-0.00667,-0.007189,-0.00896,-0.01764,-0.005032,-0.04349,-0.03877,-0.01771,-0.03583,-0.01288,-0.002087,-0.03574,-0.02122,-0.01541,-0.01865,-0.001943,-0.004723,-0.01031,-0.01685,-0.01677,-0.03206,-0.03212,0.02621,-0.0007225,-0.0002346,-0.03424,-0.03419,0.0001602,-0.02626,0.006599,0.01842,-0.03201,0.03604,-0.01943,0.001192
-0.03337,0.005097,0.00179,-0.03155,-0.0148,-0.001779,-0.01126,0.01365,0.000233,-0.06213,-0.02757,-0.0246,-0.02685,-2.06e-005,-0.0004722,0.01683,-0.01926,-0.02073,-0.03019,-0.0223,0.01697,-0.03676,0.01849,-0.02398,-0.02116,-0.01781,-0.01465,-0.002811,-0.033,-0.02305,-0.007877,-0.007278,-0.004678,-0.02027,-0.003035,-0.04078,-0.04039,-0.01864,-0.03617,-0.0114,-0.003655,-0.03555,-0.02091,-0.01787,-0.01863,-0.002226,-0.006645,-0.0124,-0.03039,-0.02147,-0.03092,-0.03456,0.03265,0.0004242,0.0007067,-0.03438,-0.03502,0.0002274,-0.02795,0.005003,0.02139,-0.03412,0.0346,-0.02035,0.003325
-0.03554,0.005406,0.002743,-0.02773,-0.01571,0.000242,-0.01233,0.01393,0.001866,-0.06549,-0.02542,-0.02579,-0.02599,0.0004677,-0.001278,0.01994,-0.02221,-0.02212,-0.03406,-0.02184,0.01785,-0.03744,0.01903,-0.02685,-0.02271,-0.0186,-0.01589,-0.002767,-0.03251,-0.0162,-0.006759,-0.007434,-0.001819,-0.02228,-0.002911,-0.04266,-0.04047,-0.01988,-0.03683,-0.0102,-0.003309,-0.03333,-0.02394,-0.018,-0.01883,-0.002088,-0.005474,-0.01586,-0.03268,-0.02474,-0.02941,-0.03782,0.0358,-6.943e-005,-0.001259,-0.03678,-0.03639,-0.001005,-0.02803,0.003361,0.01792,-0.03669,0.03631,-0.02266,0.002033
-0.03726,0.003389,0.002656,-0.02695,-0.01666,0.0001443,-0.01858,0.01416,7.751e-005,-0.06559,-0.02327,-0.02539,-0.02446,-0.0001732,-0.001893,0.02222,-0.02229,-0.0232,-0.03614,-0.02224,0.01909,-0.03898,0.01829,-0.0279,-0.02526,-0.01579,-0.01544,-0.002843,-0.03158,-0.01271,-0.005942,-0.008089,-0.0001372,-0.02229,-0.009716,-0.04233,-0.04138,-0.02014,-0.03739,-0.009855,-0.007818,-0.02857,-0.02578,-0.01548,-0.01964,-0.0033,-0.005261,-0.01855,-0.02954,-0.02795,-0.02826,-0.04142,0.03815,-0.0001831,0.0006568,-0.03898,-0.03504,0.0001076,-0.02713,-0.0004907,0.00671,-0.03738,0.0392,-0.02575,0.0009122
