F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
90567,182x_1113_38,99,99,0,0,1.829110609,0.196083204,3.785680052
94981,112x_112x_1115_54,3.793282239,99,-0.04211266,0,1.829417266,-2.470572019,1.459275341
2773,152x_1111_193,5.462764299,6.038158138,-0.004000234,-5.907524812,1.829550103,-3.139694534,0.30878053
66133,142x_1119_38,4.489248023,6.866526094,-0.2050221,-2.951983419,1.829850615,-3.061525012,-0.60586562
66104,142x_1119_38,4.254016126,9.866367407,5.781589092,2.631481593,1.830002277,3.05295651,-0.569149838
66204,142x_1119_38,99,99,0,0,1.830068306,2.772284581,3.268951701
63936,172x_1112_38,99,99,0,0,1.830339935,-2.974594515,-2.090465223
2844,152x_1111_193,7.1248867,7.548588585,0.249991158,5.541143099,1.830996623,3.13335322,-0.603784242
45253,112x_112x_1112_46,5.649155694,6.695118692,-0.874292919,-0.826680016,1.831022314,-0.136004788,1.834242814
90594,182x_1113_38,99,99,0,0,1.831183413,0.009788352,1.411700089
103669,162x_1113_157,3.430797214,6.694258185,2.715654546,-3.225577408,1.83128982,-0.37575799,0.680688217
38779,112x_112x_1116_40,4.238318844,99,-0.207114518,0,1.831882491,-3.068866102,0.162264694
15820,112x_112x_1111_179,1.456297523,5.831640625,5.98930419,0.250491883,1.831960977,3.099583651,-5.344700656
135,171x_1111_10,99,99,0,0,1.832192881,-3.023362148,-0.112823476
66430,142x_1115_201,3.047752191,7.034768025,4.676671671,-0.272745601,1.832842296,2.733149034,1.314835416
66127,142x_1119_38,4.405336785,7.423951644,-5.877871112,-2.703012306,1.832900736,-2.757917247,0.166795271
130,171x_1111_10,99,99,0,0,1.833041043,-2.972290089,-0.049992623
95033,112x_112x_1115_54,3.582036822,99,0.053701596,0,1.833104254,-2.904874005,0.587691973
133,171x_1111_10,99,99,0,0,1.833226306,-2.995096556,-0.017653982
103672,162x_1113_157,3.170728962,6.390705986,-2.782719789,-2.69798977,1.833258063,0.050386932,-0.588770646
94942,112x_112x_1115_54,2.355034396,99,-0.003932609,0,1.833341842,2.930929162,2.739921583
131,171x_1111_10,99,99,0,0,1.833730009,-2.992879999,-0.02465589
132,171x_1111_10,99,99,0,0,1.833982105,-2.994126429,0.012791563
40388,152x_1113_106,6.241437949,8.04774153,5.477713792,5.644023361,1.833995774,2.576588045,-4.658878614
38751,112x_112x_1116_40,4.526303106,99,5.892608183,0,1.834340765,3.130428771,0.389190853
15778,112x_112x_1111_179,1.690099241,5.647457283,0.010395095,0.012083249,1.83452628,3.069836244,3.021614246
69073,182x_1111_88,5.438604918,11.66585787,0.014793646,-2.379518939,1.834775534,-2.689242541,0.275417741
104020,122x_1117_86,99,99,0,0,1.834834314,3.078161447,0.568996063
38755,112x_112x_1116_40,4.432308183,99,-6.168584749,0,1.834836422,-3.127534185,-1.149917432
40446,152x_1113_106,6.869298726,99,-0.394919964,0,1.83500262,-2.718290452,2.698857234
134,171x_1111_10,99,99,0,0,1.83516206,-3.010143832,-0.0448572
38778,112x_112x_1116_40,4.278190738,99,-0.095056135,0,1.835194348,-3.048253867,-0.096234918
78,171x_1111_10,99,99,0,0,1.835317254,2.752273954,1.160264019
38768,112x_112x_1116_40,4.375869319,99,6.201980812,0,1.835378597,3.088723257,1.750574536
20264,142x_1111_186,6.119312473,10.58350185,5.946159666,5.241188077,1.836054921,2.944919976,1.447066688
94935,112x_112x_1115_54,2.307264571,99,0.672196542,0,1.836977819,-2.129835315,-2.659842345
129,171x_1111_10,99,99,0,0,1.837134009,-2.995241352,-0.051532339
92408,122x_1119_22,1.351419409,4.547377954,-3.702188716,-0.488207449,1.837517128,-0.621471344,11.50858094
92439,122x_1119_22,4.030177038,99,-0.594622773,0,1.837649397,-0.490174016,2.809099866
65035,161x_1111_23,4.479168437,99,0.448751201,0,1.838008525,-0.215372578,0.672196416
20276,142x_1111_186,5.921765729,9.983061471,0.065900377,0.302846657,1.838156811,3.131741958,0.122735581
2717,152x_1111_193,1.605557834,2.928387469,-0.258568962,5.612303084,1.838642206,2.650801227,-0.922882159
65045,161x_1111_23,4.054156616,99,0.052454729,0,1.838659878,-0.096461819,-0.314761694
128,171x_1111_10,99,99,0,0,1.83888193,-3.015426988,-0.045805922
2774,152x_1111_193,5.472636136,6.104176815,-6.253688951,-5.889902143,1.838903881,-3.118429592,0.354574135
119,171x_1111_10,99,99,0,0,1.839002328,-3.042540217,-0.466791521
126,171x_1111_10,99,99,0,0,1.839129658,-3.072359458,0.116101062
20275,142x_1111_186,5.936941244,10.00492978,-6.181277739,-5.864650665,1.839299881,-3.14035777,-0.242152147
40444,152x_1113_106,7.000475403,99,-0.043347921,0,1.839311093,-2.686419621,-0.552766078
46478,112x_112x_1113_103,2.318201389,4.335244553,0.328290704,-0.684717879,1.83939401,-0.30438785,-1.330953588
66130,142x_1119_38,4.499281486,7.166172128,0.131224518,-2.925592465,1.839493175,-2.957116328,-0.01491719
37387,142x_1113_81,0.645677113,99,0.694166531,0,1.839607686,2.679882504,-4.130888277
2861,152x_1111_193,7.310950818,7.757927893,0.039252887,6.19952213,1.839624912,3.09980979,0.644173029
64915,161x_1111_23,5.645124296,99,-0.020391299,0,1.839671484,0.238482531,-0.748379134
