ID,X,Y,F,VX,VY,Obj,V,V_kph,V_mps,VX_mps,VY_mps,comp,type,Obj_ID,X_SGF,Y_SGF,V_mps_corrected,speed_SGF,VX_mps_corrected,speed_x_SGF,VY_mps_corrected,speed_y_SGF,acc_inst,acc_inst_x,acc_inst_y,yawAngle,acc_SGF,acc_SGF_x,acc_SGF_y,yawAngle_SGF,yawRate,yawRate_SGF,jerk,jerk_SGF,X_axis2_SGF,Y_axis2_SGF,deltaX,deltaY,quarter,yawAngle_axis2
39,28.04,47.09,15791,-0.001735,-0.0485,165,0.048531023,5.236109169,1.454474769,-0.05199795,-1.453545,1111,p,1111_165,28.06510407,47.08538462,1.454474769,1.50909868,-0.001735,0.007247548,-0.0485,-0.049231511,4.702162428,0.192156249,-0.073159889,-0.399665674,4.614949047,0.194202806,-0.071528745,-0.366972534,2.268236789,2.154180887,-15.9044853,-16.14498967,53.36567469,12.52151254,-0.02274736,-0.02274736,3,-2.35619449
40,28.08,47.04,15792,0.007593,-0.05057,165,0.051136861,5.517258203,1.532571723,0.22756221,-1.5155829,1111,p,1111_165,28.096,47.03086878,1.532571723,1.665994323,0.007593,0.013659168,-0.05057,-0.051672615,5.038705247,0.249795421,-0.060723831,-0.515599268,4.987429483,0.250230383,-0.060829871,-0.511265098,2.16438845,2.145450271,-5.587206543,-6.344895241,53.34792319,12.46141745,-0.017751492,-0.017751492,3,-2.35619449
41,28.13,46.97,15793,0.0209,-0.05412,165,0.058015381,6.259395457,1.73872096,0.626373,-1.6219764,1111,p,1111_165,28.13620814,46.97331222,1.73872096,1.834119289,0.0209,0.021994017,-0.05412,-0.053698769,4.697811857,0.27592568,-0.042292959,-0.609775605,4.697990805,0.269256949,-0.043970591,-0.629898463,1.77950048,1.848656264,4.34158017,3.896302547,53.33445346,12.39251158,-0.013469732,-0.013469732,3,-2.35619449
42,28.19,46.91,15794,0.03434,-0.05637,165,0.066006155,7.121536077,1.978204466,1.0291698,-1.6894089,1111,p,1111_165,28.18446154,46.91686878,1.978204466,1.990869768,0.03434,0.031200746,-0.05637,-0.055109946,3.492827186,0.24386966,-0.02000667,-0.70733085,3.795865546,0.250964215,-0.021948428,-0.713023759,1.246879436,1.37788552,13.53187888,13.10767921,53.32737329,12.31859187,-0.007080169,-0.007080169,3,-2.35619449
43,28.25,46.86,15795,0.04779,-0.05782,165,0.075013575,8.093364681,2.248156856,1.4322663,-1.7328654,1111,p,1111_165,28.2379276,46.86092308,2.248156856,2.107413885,0.04779,0.039337872,-0.05782,-0.055777502,2.452486465,0.204479967,0.001365059,-0.762738684,2.48711946,0.200061705,0.001464474,-0.761869721,0.73268943,0.842140034,19.6311913,19.75347843,53.32427229,12.24126836,-0.003101,-0.003101,3,-2.35619449
44,28.31,46.8,15796,0.0552,-0.05794,165,0.080025518,8.634113234,2.398364787,1.654344,-1.7364618,1111,p,1111_165,28.29355656,46.80624434,2.398364787,2.189245266,0.0552,0.046160694,-0.05794,-0.055731955,1.118578881,0.13405249,0.019059564,-0.794012275,0.982503077,0.127293024,0.022839055,-0.786006624,0.362053548,0.348280351,22.56924575,23.45353795,53.32358517,12.16326918,-0.000687125,-0.000687125,3,-2.35619449
45,28.35,46.75,15797,0.05554,-0.05607,165,0.078921078,8.514952912,2.365264698,1.6645338,-1.6804179,1111,p,1111_165,28.34673303,46.75360181,2.365264698,2.226568552,0.05554,0.050633583,-0.05607,-0.055096,-0.426762073,0.042954794,0.040037208,-0.790443874,-0.66254973,0.039434212,0.04109616,-0.790140295,0.062005062,-0.066169931,24.6757921,23.94005766,53.32265903,12.08844862,-0.000926143,-0.000926143,3,-2.35619449
46,28.39,46.7,15798,0.05303,-0.05368,165,0.075456764,8.141181229,2.26143923,1.5893091,-1.6087896,1111,p,1111_165,28.39333937,46.70376471,2.26143923,2.21232891,0.05303,0.052066843,-0.05368,-0.05376009,-2.123559499,-0.05419349,0.056346583,-0.751911577,-2.155153264,-0.046848102,0.052635519,-0.76089558,-0.438670725,-0.41957172,22.38905301,21.27374366,53.31918674,12.02030296,-0.003472286,-0.003472286,3,-2.35619449
47,28.44,46.65,15799,0.04997,-0.05132,165,0.071629207,7.728218405,2.146727335,1.4976009,-1.5380604,1111,p,1111_165,28.43323077,46.65682353,2.146727335,2.141472737,0.04997,0.050258585,-0.05132,-0.051879991,-3.357089247,-0.119661775,0.058631355,-0.704387727,-3.236404163,-0.116477381,0.056106773,-0.705559394,-0.830042786,-0.748479851,16.21876349,16.03432171,53.31313282,11.95899923,-0.006053919,-0.006053919,3,-2.35619449
48,28.47,46.62,15800,0.04459,-0.04873,165,0.066052108,7.12649406,1.979581683,1.3363623,-1.4604381,1111,p,1111_165,28.46771041,46.61148416,1.979581683,2.029457747,0.04459,0.046265866,-0.04873,-0.049923656,-4.157224604,-0.178523018,0.052173024,-0.650174032,-3.833909226,-0.163689892,0.052088888,-0.6370704,-1.027334907,-1.065629213,8.962575945,9.44270977,53.30447167,11.90270102,-0.008661151,-0.008661151,3,-2.35619449
