SceneID,X,Y,code,Pix
1_1_2,16.54468621,51.64470249,L1,14.2736
1_1_2,29.30527369,39.32120593,L1,14.2736
1_1_2,22.34117833,48.81654661,T1,14.2736
1_1_2,30.09867354,42.21064018,T1,14.2736
1_1_2,31.03837739,42.79339824,T1,14.2736
1_1_2,23.5660227,49.30578801,T1,14.2736
1_1_2,22.25323466,51.92451758,T2,14.2736
1_1_2,31.83798733,45.55854539,T2,14.2736
1_1_2,32.20268822,46.64121734,T2,14.2736
1_1_2,23.09879809,52.27786378,T2,14.2736
1_1_2,17.75411966,43.03924683,car,14.2736
1_1_2,19.49522534,44.80430006,car,14.2736
1_1_2,25.3002882,40.40563754,car,14.2736
1_1_2,22.63747812,38.61411842,car,14.2736
