SceneID,X,Y,code
1_1_2,22.34117833,48.81654661,T1
1_1_2,30.09867354,42.21064018,T1
1_1_2,31.03837739,42.79339824,T1
1_1_2,23.5660227,49.30578801,T1
1_1_2,17.34037191,50.83355764,L1
1_1_2,28.44171776,40.14670229,L1
1_2_2,22.25323466,51.92451758,T2
1_2_2,31.83798733,45.55854539,T2
1_2_2,32.20268822,46.64121734,T2
1_2_2,23.09879809,52.27786378,T2
